taxon,NAME,fips,O,H,G,bonap,usda,sum
Vitis acerifolia,Jeff Davis,48243,NA,2,NA,1,NA,3
Vitis acerifolia,Baca,08009,1,17,NA,1,1,20
Vitis acerifolia,Union,35059,NA,3,NA,1,1,5
Vitis acerifolia,Las Animas,08071,NA,9,NA,1,1,11
Vitis acerifolia,Dallam,48111,NA,1,NA,1,NA,2
Vitis acerifolia,Hartley,48205,NA,1,NA,1,NA,2
Vitis acerifolia,Quay,35037,NA,2,NA,1,1,4
Vitis acerifolia,Oldham,48359,NA,8,NA,1,1,10
Vitis acerifolia,Bailey,48017,NA,NA,NA,1,NA,1
Vitis acerifolia,Roosevelt,35041,NA,NA,NA,1,NA,1
Vitis acerifolia,Otero,35035,NA,2,NA,NA,NA,2
Vitis acerifolia,Yuma,08125,NA,6,NA,1,NA,7
Vitis acerifolia,Stanton,20187,NA,NA,NA,1,1,2
Vitis acerifolia,Hamilton,20075,NA,NA,NA,1,1,2
Vitis acerifolia,Norton,20137,NA,NA,NA,1,NA,1
Vitis acerifolia,Decatur,20039,NA,NA,NA,1,1,2
Vitis acerifolia,Rawlins,20153,NA,1,NA,1,1,3
Vitis acerifolia,Cimarron,40025,1,17,NA,1,1,20
Vitis acerifolia,Beaver,40007,NA,7,NA,1,1,9
Vitis acerifolia,Ochiltree,48357,NA,6,NA,1,1,8
Vitis acerifolia,Hansford,48195,NA,NA,NA,1,1,2
Vitis acerifolia,Lipscomb,48295,NA,2,NA,1,NA,3
Vitis acerifolia,Harmon,40057,NA,13,NA,1,1,15
Vitis acerifolia,Childress,48075,NA,NA,NA,1,1,2
Vitis acerifolia,Collingsworth,48087,1,5,NA,1,NA,7
Vitis acerifolia,Beckham,40009,NA,2,NA,1,1,4
Vitis acerifolia,Wheeler,48483,1,10,NA,1,1,13
Vitis acerifolia,Roger Mills,40129,NA,23,NA,1,1,25
Vitis acerifolia,Hemphill,48211,8,14,NA,1,1,24
Vitis acerifolia,Ellis,40045,NA,4,NA,1,1,6
Vitis acerifolia,Jackson,40065,NA,3,NA,1,NA,4
Vitis acerifolia,Hardeman,48197,NA,4,NA,1,1,6
Vitis acerifolia,Tillman,40141,NA,4,NA,1,1,6
Vitis acerifolia,Wilbarger,48487,NA,8,NA,1,1,10
Vitis acerifolia,Wichita,48485,NA,NA,NA,1,1,2
Vitis acerifolia,Cotton,40033,NA,1,NA,1,NA,2
Vitis acerifolia,Jefferson,40067,NA,NA,NA,1,NA,1
Vitis acerifolia,Clay,48077,NA,1,NA,NA,NA,1
Vitis acerifolia,McCurtain,40089,NA,NA,NA,1,NA,1
Vitis acerifolia,Marshall,40095,NA,NA,NA,1,NA,1
Vitis acerifolia,Grayson,48181,NA,2,NA,1,NA,3
Vitis acerifolia,Cooke,48097,NA,5,NA,1,NA,6
Vitis acerifolia,Kay,40071,NA,NA,NA,1,NA,1
Vitis acerifolia,Alfalfa,40003,NA,NA,NA,1,NA,1
Vitis acerifolia,Barber,20007,NA,4,NA,1,1,6
Vitis acerifolia,Woods,40151,NA,35,NA,1,1,37
Vitis acerifolia,Harper,40059,NA,6,NA,1,NA,7
