taxon,NAME,fips,O,H,G,bonap,usda,sum
Vitis aestivalis var. aestivalis,Erie,39043,NA,1,NA,NA,NA,1
Vitis aestivalis var. aestivalis,Lorain,39093,NA,1,NA,NA,NA,1
Vitis aestivalis var. aestivalis,Cuyahoga,39035,NA,2,NA,NA,NA,2
Vitis aestivalis var. aestivalis,Lake,39085,NA,6,NA,NA,NA,6
Vitis aestivalis var. aestivalis,Ashtabula,39007,NA,3,NA,NA,NA,3
Vitis aestivalis var. aestivalis,Niagara,36063,NA,2,NA,NA,NA,2
Vitis aestivalis var. aestivalis,Wayne,36117,1,NA,NA,NA,NA,1
Vitis aestivalis var. aestivalis,Cameron,22023,NA,NA,NA,NA,1,1
Vitis aestivalis var. aestivalis,Jefferson,22051,NA,NA,NA,NA,1,1
Vitis aestivalis var. aestivalis,Saint Bernard,22087,NA,NA,NA,NA,1,1
Vitis aestivalis var. aestivalis,Saint Charles,22089,NA,NA,NA,NA,1,1
Vitis aestivalis var. aestivalis,Tangipahoa,22105,NA,NA,NA,NA,1,1
Vitis aestivalis var. aestivalis,Saint Tammany,22103,NA,NA,NA,NA,1,1
Vitis aestivalis var. aestivalis,Harrison,28047,NA,1,NA,NA,NA,1
Vitis aestivalis var. aestivalis,Jackson,28059,NA,1,NA,NA,NA,1
Vitis aestivalis var. aestivalis,Mobile,01097,NA,2,NA,NA,NA,2
Vitis aestivalis var. aestivalis,Baldwin,01003,NA,2,NA,NA,NA,2
Vitis aestivalis var. aestivalis,Escambia,12033,NA,1,NA,NA,NA,1
Vitis aestivalis var. aestivalis,Santa Rosa,12113,NA,1,NA,NA,NA,1
Vitis aestivalis var. aestivalis,Okaloosa,12091,NA,4,NA,NA,1,5
Vitis aestivalis var. aestivalis,Walton,12131,NA,NA,NA,NA,1,1
Vitis aestivalis var. aestivalis,Franklin,12037,NA,5,NA,NA,1,6
Vitis aestivalis var. aestivalis,Wakulla,12129,NA,8,NA,NA,1,9
Vitis aestivalis var. aestivalis,Jefferson,12065,NA,7,NA,NA,1,8
Vitis aestivalis var. aestivalis,Taylor,12123,NA,2,NA,NA,1,3
Vitis aestivalis var. aestivalis,Dixie,12029,NA,2,NA,NA,1,3
Vitis aestivalis var. aestivalis,Levy,12075,NA,3,NA,NA,1,4
Vitis aestivalis var. aestivalis,Citrus,12017,NA,2,NA,NA,1,3
Vitis aestivalis var. aestivalis,Hernando,12053,NA,3,NA,NA,1,4
Vitis aestivalis var. aestivalis,Pasco,12101,NA,NA,NA,NA,1,1
Vitis aestivalis var. aestivalis,Pinellas,12103,NA,NA,NA,NA,1,1
Vitis aestivalis var. aestivalis,Hillsborough,12057,NA,NA,NA,NA,1,1
Vitis aestivalis var. aestivalis,Manatee,12081,NA,2,NA,NA,1,3
Vitis aestivalis var. aestivalis,Sarasota,12115,NA,2,NA,NA,1,3
Vitis aestivalis var. aestivalis,Lee,12071,NA,NA,NA,NA,1,1
Vitis aestivalis var. aestivalis,Collier,12021,NA,2,NA,NA,1,3
Vitis aestivalis var. aestivalis,Monroe,12087,NA,NA,NA,NA,1,1
Vitis aestivalis var. aestivalis,Miami-Dade,12086,NA,NA,NA,NA,1,1
Vitis aestivalis var. aestivalis,Broward,12011,NA,NA,NA,NA,1,1
Vitis aestivalis var. aestivalis,Martin,12085,NA,NA,NA,NA,1,1
Vitis aestivalis var. aestivalis,Brevard,12009,NA,2,NA,NA,1,3
Vitis aestivalis var. aestivalis,Volusia,12127,NA,2,NA,NA,1,3
Vitis aestivalis var. aestivalis,Flagler,12035,NA,NA,NA,NA,1,1
