taxon,NAME,fips,O,H,G,bonap,usda,sum
Vitis aestivalis var. bicolor,Erie,39043,NA,2,NA,NA,NA,2
Vitis aestivalis var. bicolor,Cuyahoga,39035,NA,1,NA,NA,NA,1
Vitis aestivalis var. bicolor,Lake,39085,NA,2,NA,NA,NA,2
Vitis aestivalis var. bicolor,Ashtabula,39007,NA,1,NA,NA,NA,1
Vitis aestivalis var. bicolor,Erie,42049,NA,10,NA,NA,NA,10
Vitis aestivalis var. bicolor,Erie,36029,1,NA,NA,NA,NA,1
Vitis aestivalis var. bicolor,Beaufort,45013,NA,1,NA,NA,NA,1
Vitis aestivalis var. bicolor,Prince William,51153,NA,4,NA,NA,NA,4
Vitis aestivalis var. bicolor,Prince George's,24033,NA,2,NA,NA,NA,2
Vitis aestivalis var. bicolor,Talbot,24041,NA,1,NA,NA,NA,1
Vitis aestivalis var. bicolor,Dorchester,24019,1,NA,NA,NA,NA,1
Vitis aestivalis var. bicolor,Ocean,34029,NA,1,NA,NA,NA,1
Vitis aestivalis var. bicolor,Middlesex,34023,1,NA,NA,NA,NA,1
Vitis aestivalis var. bicolor,Union,34039,1,NA,NA,NA,NA,1
Vitis aestivalis var. bicolor,Essex,34013,NA,1,NA,NA,NA,1
Vitis aestivalis var. bicolor,Westchester,36119,NA,2,NA,NA,NA,2
Vitis aestivalis var. bicolor,Providence,44007,NA,2,NA,NA,NA,2
Vitis aestivalis var. bicolor,Bristol,25005,NA,1,NA,NA,NA,1
Vitis aestivalis var. bicolor,Norfolk,25021,NA,3,NA,NA,NA,3
Vitis aestivalis var. bicolor,Suffolk,25025,NA,8,NA,NA,NA,8
Vitis aestivalis var. bicolor,Suffolk,36103,NA,1,NA,NA,NA,1
Vitis aestivalis var. bicolor,Nassau,36059,NA,2,NA,NA,NA,2
Vitis aestivalis var. bicolor,Dukes,25007,1,1,NA,NA,NA,2
Vitis aestivalis var. bicolor,Cherokee,20021,NA,3,NA,NA,NA,3
Vitis aestivalis var. bicolor,Craig,40035,NA,2,NA,NA,NA,2
Vitis aestivalis var. bicolor,Jackson,17077,NA,1,NA,NA,NA,1
Vitis aestivalis var. bicolor,Union,17181,NA,1,NA,NA,NA,1
Vitis aestivalis var. bicolor,Cape Girardeau,29031,NA,1,NA,NA,NA,1
Vitis aestivalis var. bicolor,Le Flore,40079,NA,1,NA,NA,NA,1
Vitis aestivalis var. bicolor,Clay,05021,NA,1,NA,NA,NA,1
Vitis aestivalis var. bicolor,Barry,29009,NA,1,NA,NA,NA,1
Vitis aestivalis var. bicolor,Carroll,05015,NA,1,NA,NA,NA,1
Vitis aestivalis var. bicolor,Lawrence,39087,NA,1,NA,NA,NA,1
Vitis aestivalis var. bicolor,Campbell,21037,NA,1,NA,NA,NA,1
Vitis aestivalis var. bicolor,Pickett,47137,NA,1,NA,NA,NA,1
Vitis aestivalis var. bicolor,Madison,01089,NA,2,NA,NA,NA,2
Vitis aestivalis var. bicolor,Marion,47115,NA,1,NA,NA,NA,1
Vitis aestivalis var. bicolor,Franklin,47051,NA,1,NA,NA,NA,1
Vitis aestivalis var. bicolor,Beaver,42007,NA,8,NA,NA,NA,8
Vitis aestivalis var. bicolor,Columbiana,39029,NA,1,NA,NA,NA,1
Vitis aestivalis var. bicolor,Lawrence,42073,NA,3,NA,NA,NA,3
Vitis aestivalis var. bicolor,Mercer,42085,NA,3,NA,NA,NA,3
Vitis aestivalis var. bicolor,Trumbull,39155,NA,2,NA,NA,NA,2
Vitis aestivalis var. bicolor,Crawford,42039,NA,5,NA,NA,NA,5
Vitis aestivalis var. bicolor,Wayne,54099,NA,2,NA,NA,NA,2
Vitis aestivalis var. bicolor,Hancock,54029,NA,2,NA,NA,NA,2
Vitis aestivalis var. bicolor,Jefferson,39081,NA,1,NA,NA,NA,1
Vitis aestivalis var. bicolor,Brooke,54009,NA,3,NA,NA,NA,3
Vitis aestivalis var. bicolor,Tyler,54095,NA,5,NA,NA,NA,5
Vitis aestivalis var. bicolor,Wetzel,54103,NA,3,NA,NA,NA,3
Vitis aestivalis var. bicolor,Wood,54107,NA,2,NA,NA,NA,2
Vitis aestivalis var. bicolor,Jackson,54035,NA,1,NA,NA,NA,1
Vitis aestivalis var. bicolor,Greene,42059,NA,10,NA,NA,NA,10
Vitis aestivalis var. bicolor,Washington,42125,NA,4,NA,NA,NA,4
Vitis aestivalis var. bicolor,Fayette,42051,NA,16,NA,NA,NA,16
Vitis aestivalis var. bicolor,Preston,54077,NA,4,NA,NA,NA,4
Vitis aestivalis var. bicolor,Monongalia,54061,NA,32,NA,NA,NA,32
Vitis aestivalis var. bicolor,Hardeman,47069,NA,1,NA,NA,NA,1
Vitis aestivalis var. bicolor,Choctaw,01023,NA,1,NA,NA,NA,1
Vitis aestivalis var. bicolor,Polk,47139,NA,11,NA,NA,NA,11
