taxon,NAME,fips,O,H,G,bonap,usda,sum
Vitis aestivalis,Alcona,26001,2,NA,NA,NA,NA,2
Vitis aestivalis,Huron,26063,1,NA,NA,NA,NA,1
Vitis aestivalis,Sanilac,26151,1,NA,NA,NA,NA,1
Vitis aestivalis,Saint Clair,26147,1,3,NA,1,1,6
Vitis aestivalis,Macomb,26099,5,NA,NA,NA,NA,5
Vitis aestivalis,Wayne,26163,9,1,NA,1,1,12
Vitis aestivalis,Monroe,26115,1,NA,NA,NA,NA,1
Vitis aestivalis,Lucas,39095,6,1,NA,1,1,9
Vitis aestivalis,Ottawa,39123,NA,NA,NA,1,NA,1
Vitis aestivalis,Erie,39043,NA,3,NA,1,1,5
Vitis aestivalis,Lorain,39093,3,1,NA,1,1,6
Vitis aestivalis,Cuyahoga,39035,15,4,NA,1,1,21
Vitis aestivalis,Lake,39085,3,8,NA,1,1,13
Vitis aestivalis,Ashtabula,39007,NA,8,NA,1,1,10
Vitis aestivalis,Erie,42049,3,10,NA,1,1,15
Vitis aestivalis,Chautauqua,36013,3,NA,NA,1,NA,4
Vitis aestivalis,Erie,36029,6,NA,NA,1,1,8
Vitis aestivalis,Niagara,36063,3,3,NA,1,1,8
Vitis aestivalis,Orleans,36073,1,NA,NA,NA,NA,1
Vitis aestivalis,Monroe,36055,4,1,NA,1,1,7
Vitis aestivalis,Wayne,36117,4,NA,NA,NA,NA,4
Vitis aestivalis,Cayuga,36011,NA,1,NA,1,NA,2
Vitis aestivalis,Saint Lawrence,36089,NA,NA,NA,1,NA,1
Vitis aestivalis,Oxford,23017,NA,NA,NA,1,NA,1
Vitis aestivalis,Franklin,23007,NA,1,NA,NA,NA,1
Vitis aestivalis,Brewster,48043,NA,1,NA,NA,NA,1
Vitis aestivalis,Val Verde,48465,NA,1,NA,NA,NA,1
Vitis aestivalis,Victoria,48469,NA,1,NA,NA,NA,1
Vitis aestivalis,Matagorda,48321,NA,1,NA,1,NA,2
Vitis aestivalis,Brazoria,48039,NA,1,NA,1,NA,2
Vitis aestivalis,Harris,48201,NA,4,NA,1,1,6
Vitis aestivalis,Chambers,48071,NA,NA,NA,1,NA,1
Vitis aestivalis,Jefferson,48245,NA,NA,NA,1,1,2
Vitis aestivalis,Orange,48361,NA,1,NA,NA,NA,1
Vitis aestivalis,Cameron,22023,NA,NA,NA,1,1,2
Vitis aestivalis,Jefferson,22051,NA,NA,NA,1,1,2
Vitis aestivalis,Saint Bernard,22087,NA,NA,NA,1,1,2
Vitis aestivalis,Saint Charles,22089,NA,NA,NA,1,1,2
Vitis aestivalis,Tangipahoa,22105,NA,NA,NA,1,1,2
Vitis aestivalis,Saint Tammany,22103,NA,NA,NA,1,1,2
Vitis aestivalis,Harrison,28047,1,2,NA,NA,NA,3
Vitis aestivalis,Jackson,28059,6,1,NA,1,NA,8
Vitis aestivalis,Mobile,01097,3,16,NA,1,1,21
Vitis aestivalis,Baldwin,01003,4,8,NA,1,1,14
