taxon,NAME,fips,O,H,G,bonap,usda,sum
Vitis arizonica,Santa Cruz,04023,32,68,24,1,1,126
Vitis arizonica,Pima,04019,64,105,12,1,1,183
Vitis arizonica,Yuma,04027,NA,NA,NA,1,NA,1
Vitis arizonica,Luna,35029,NA,6,3,1,1,11
Vitis arizonica,Hidalgo,35023,NA,31,NA,1,1,33
Vitis arizonica,Cochise,04003,72,156,37,1,1,267
Vitis arizonica,Doña Ana,35013,16,27,NA,1,1,45
Vitis arizonica,El Paso,48141,1,12,NA,1,NA,14
Vitis arizonica,Hudspeth,48229,NA,2,NA,1,NA,3
Vitis arizonica,Presidio,48377,1,30,3,1,1,36
Vitis arizonica,Jeff Davis,48243,6,93,2,1,1,103
Vitis arizonica,Brewster,48043,7,87,10,1,1,106
Vitis arizonica,Matagorda,48321,NA,1,NA,1,NA,2
Vitis arizonica,Lincoln,32017,NA,14,NA,1,1,16
Vitis arizonica,Washington,49053,32,116,6,1,1,156
Vitis arizonica,Mohave,04015,7,60,6,1,1,75
Vitis arizonica,Coconino,04005,63,162,11,1,1,238
Vitis arizonica,San Juan,49037,NA,1,NA,1,1,3
Vitis arizonica,Navajo,04017,6,23,10,1,1,41
Vitis arizonica,Apache,04001,2,13,1,1,1,18
Vitis arizonica,San Juan,35045,NA,NA,NA,1,1,2
Vitis arizonica,Cibola,35006,NA,6,NA,1,1,8
Vitis arizonica,Catron,35003,9,49,NA,1,1,60
Vitis arizonica,Greenlee,04011,4,16,NA,1,1,22
Vitis arizonica,Grant,35017,3,67,65,1,1,137
Vitis arizonica,Union,35059,NA,2,NA,1,NA,3
Vitis arizonica,Colfax,35007,NA,NA,NA,1,NA,1
Vitis arizonica,Taos,35055,NA,2,NA,1,1,4
Vitis arizonica,Rio Arriba,35039,NA,1,NA,1,NA,2
Vitis arizonica,Quay,35037,NA,NA,NA,1,NA,1
Vitis arizonica,Roosevelt,35041,NA,2,NA,NA,NA,2
Vitis arizonica,Eddy,35015,1,24,NA,1,1,27
Vitis arizonica,Culberson,48109,5,29,NA,1,1,36
Vitis arizonica,Otero,35035,2,9,NA,1,NA,12
Vitis arizonica,Hemphill,48211,NA,2,NA,1,NA,3
Vitis arizonica,Grayson,48181,NA,1,NA,1,NA,2
Vitis arizonica,Washoe,32031,NA,1,NA,NA,NA,1
Vitis arizonica,La Paz,04012,NA,8,NA,1,NA,9
Vitis arizonica,Clark,32003,71,94,NA,1,1,167
Vitis arizonica,Nye,32023,23,21,NA,1,1,46
Vitis arizonica,Graham,04009,8,22,5,1,1,37
Vitis arizonica,Gila,04007,27,69,18,1,1,116
Vitis arizonica,Yavapai,04025,50,95,9,1,1,156
Vitis arizonica,Pinal,04021,7,16,1,1,NA,25
Vitis arizonica,Maricopa,04013,36,39,2,1,1,79
Vitis arizonica,Bernalillo,35001,6,6,NA,1,1,14
Vitis arizonica,Santa Fe,35049,2,6,NA,1,NA,9
Vitis arizonica,Torrance,35057,1,3,NA,1,NA,5
Vitis arizonica,Valencia,35061,NA,3,NA,1,NA,4
Vitis arizonica,Sandoval,35043,11,7,NA,1,1,20
Vitis arizonica,Socorro,35053,1,22,NA,1,1,25
Vitis arizonica,Sierra,35051,NA,25,NA,1,1,27
Vitis arizonica,Chaves,35005,NA,2,NA,1,1,4
Vitis arizonica,Lincoln,35027,1,16,24,1,1,43
Vitis arizonica,DeBaca,35011,NA,5,NA,1,1,7
Vitis arizonica,Harding,35021,NA,1,NA,1,1,3
Vitis arizonica,Mora,35033,NA,NA,NA,1,NA,1
Vitis arizonica,Guadalupe,35019,NA,6,NA,1,NA,7
Vitis arizonica,San Miguel,35047,1,16,NA,1,1,19
Vitis arizonica,Los Alamos,35028,NA,3,NA,1,1,5
Vitis arizonica,Briscoe,48045,NA,1,NA,1,NA,2
Vitis arizonica,Randall,48381,NA,1,NA,NA,NA,1
Vitis arizonica,Uvalde,48463,NA,3,NA,1,NA,4
Vitis arizonica,Real,48385,NA,2,NA,NA,NA,2
Vitis arizonica,Travis,48453,NA,1,NA,NA,NA,1
Vitis arizonica,Lee,48287,NA,1,NA,NA,NA,1
Vitis arizonica,Blanco,48031,NA,3,NA,1,NA,4
Vitis arizonica,Lubbock,48303,NA,3,NA,1,NA,4
Vitis arizonica,Ellis,48139,NA,NA,NA,NA,1,1
Vitis arizonica,Edwards,48137,NA,3,NA,1,NA,4
Vitis arizonica,Sanpete,49039,NA,1,NA,NA,NA,1
Vitis arizonica,Salt Lake,49035,NA,1,NA,NA,NA,1
