taxon,NAME,fips,O,H,G,bonap,usda,sum
Vitis baileyana,Beaufort,45013,NA,3,NA,NA,NA,3
Vitis baileyana,Colleton,45029,NA,1,NA,NA,NA,1
Vitis baileyana,Berkeley,45015,NA,1,NA,NA,NA,1
Vitis baileyana,Isle of Wight,51093,NA,2,NA,NA,NA,2
Vitis baileyana,Chesterfield,51041,NA,1,NA,NA,NA,1
Vitis baileyana,James City,51095,NA,1,NA,NA,NA,1
Vitis baileyana,King George,51099,NA,1,NA,NA,NA,1
Vitis baileyana,Talbot,24041,NA,1,NA,NA,NA,1
Vitis baileyana,Worcester,24047,NA,1,NA,NA,NA,1
Vitis baileyana,Grayson,48181,NA,1,NA,NA,NA,1
Vitis baileyana,Saint Louis,29189,NA,2,NA,NA,NA,2
Vitis baileyana,Hickman,21105,NA,1,NA,NA,NA,1
Vitis baileyana,Pike,28113,NA,2,NA,NA,NA,2
Vitis baileyana,Crittenden,05035,NA,1,NA,NA,NA,1
Vitis baileyana,DeSoto,28033,NA,2,NA,NA,NA,2
Vitis baileyana,Phillips,05107,NA,1,NA,NA,NA,1
Vitis baileyana,Coahoma,28027,NA,1,NA,NA,NA,1
Vitis baileyana,Dyer,47045,NA,1,NA,NA,NA,1
Vitis baileyana,Lauderdale,47097,NA,1,NA,NA,NA,1
Vitis baileyana,Lawrence,39087,NA,2,NA,NA,NA,2
Vitis baileyana,Scioto,39145,NA,1,NA,NA,NA,1
Vitis baileyana,Trigg,21221,NA,4,NA,NA,NA,4
Vitis baileyana,Stewart,47161,NA,2,NA,NA,NA,2
Vitis baileyana,Montgomery,47125,6,1,NA,NA,NA,7
Vitis baileyana,Bell,21013,NA,1,NA,NA,NA,1
Vitis baileyana,Claiborne,47025,NA,2,NA,NA,NA,2
Vitis baileyana,Campbell,47013,NA,3,NA,NA,NA,3
Vitis baileyana,Scott,47151,1,4,NA,NA,NA,5
Vitis baileyana,Wayne,21231,NA,1,NA,NA,NA,1
Vitis baileyana,Weakley,47183,NA,2,NA,NA,NA,2
Vitis baileyana,Obion,47131,NA,1,NA,NA,NA,1
Vitis baileyana,Wayne,47181,NA,1,NA,NA,NA,1
Vitis baileyana,Hardin,47071,NA,2,NA,NA,NA,2
Vitis baileyana,Giles,47055,NA,1,NA,NA,NA,1
Vitis baileyana,Lawrence,47099,NA,2,NA,NA,NA,2
Vitis baileyana,Franklin,47051,NA,2,NA,NA,NA,2
Vitis baileyana,Wayne,54099,NA,1,NA,NA,NA,1
Vitis baileyana,Tyler,54095,NA,1,NA,NA,NA,1
Vitis baileyana,Wetzel,54103,NA,1,NA,NA,NA,1
Vitis baileyana,Pike,21195,NA,3,NA,NA,NA,3
Vitis baileyana,Greene,42059,NA,5,NA,NA,NA,5
Vitis baileyana,Washington,42125,NA,1,NA,NA,NA,1
Vitis baileyana,Fayette,42051,NA,1,NA,NA,NA,1
Vitis baileyana,Monongalia,54061,NA,1,NA,NA,NA,1
Vitis baileyana,Tippah,28139,NA,1,NA,NA,NA,1
Vitis baileyana,Alcorn,28003,NA,1,NA,NA,NA,1
Vitis baileyana,Tishomingo,28141,NA,1,NA,NA,NA,1
Vitis baileyana,Colbert,01033,NA,3,NA,NA,NA,3
Vitis baileyana,Franklin,01059,NA,1,NA,NA,NA,1
Vitis baileyana,Pickens,01107,NA,1,NA,NA,NA,1
Vitis baileyana,Lauderdale,28075,NA,1,NA,NA,NA,1
Vitis baileyana,Polk,47139,NA,6,NA,NA,NA,6
Vitis baileyana,Whitfield,13313,NA,1,NA,NA,NA,1
Vitis baileyana,Hamilton,47065,NA,4,NA,NA,NA,4
Vitis baileyana,Catoosa,13047,NA,2,NA,NA,NA,2
Vitis baileyana,Lee,01081,NA,2,NA,NA,NA,2
Vitis baileyana,Harris,13145,NA,3,NA,NA,NA,3
Vitis baileyana,Chambers,01017,NA,1,NA,NA,NA,1
Vitis baileyana,Troup,13285,NA,2,NA,NA,NA,2
Vitis baileyana,Cleburne,01029,NA,1,NA,NA,NA,1
Vitis baileyana,Haralson,13143,NA,1,NA,NA,NA,1
Vitis baileyana,Cherokee,01019,NA,1,NA,NA,NA,1
Vitis baileyana,Floyd,13115,NA,2,NA,NA,NA,2
Vitis baileyana,Henry,01067,NA,1,NA,NA,NA,1
Vitis baileyana,Rabun,13241,NA,5,NA,NA,NA,5
Vitis baileyana,Oconee,45073,NA,9,NA,NA,NA,9
Vitis baileyana,Habersham,13137,NA,4,NA,NA,NA,4
Vitis baileyana,Hart,13147,NA,2,NA,NA,NA,2
