taxon,NAME,fips,O,H,G,bonap,usda,sum
Vitis berlandieri,Hudspeth,48229,NA,1,NA,NA,NA,1
Vitis berlandieri,Jeff Davis,48243,NA,4,1,NA,NA,5
Vitis berlandieri,Brewster,48043,NA,1,1,NA,NA,2
Vitis berlandieri,Val Verde,48465,NA,16,NA,NA,NA,16
Vitis berlandieri,Maverick,48323,NA,1,NA,NA,NA,1
Vitis berlandieri,Kinney,48271,NA,1,1,NA,NA,2
Vitis berlandieri,Harris,48201,NA,2,NA,NA,NA,2
Vitis berlandieri,Collingsworth,48087,NA,2,NA,NA,NA,2
Vitis berlandieri,Grayson,48181,NA,2,NA,NA,NA,2
Vitis berlandieri,Cooke,48097,NA,1,NA,NA,NA,1
Vitis berlandieri,Bryan,40013,NA,1,NA,NA,NA,1
Vitis berlandieri,Saint Louis,29189,NA,1,NA,NA,NA,1
Vitis berlandieri,Lauderdale,28075,NA,1,NA,NA,NA,1
Vitis berlandieri,Chaves,35005,NA,1,NA,NA,NA,1
Vitis berlandieri,Murray,40099,NA,1,NA,NA,NA,1
Vitis berlandieri,Seminole,40133,NA,1,NA,NA,NA,1
Vitis berlandieri,Leon,48289,NA,1,NA,NA,NA,1
Vitis berlandieri,Jack,48237,NA,NA,1,NA,NA,1
Vitis berlandieri,Medina,48325,NA,2,NA,NA,NA,2
Vitis berlandieri,Bexar,48029,NA,16,NA,NA,NA,16
Vitis berlandieri,Austin,48015,NA,1,NA,NA,NA,1
Vitis berlandieri,Bandera,48019,NA,18,NA,NA,NA,18
Vitis berlandieri,Uvalde,48463,NA,26,1,NA,NA,27
Vitis berlandieri,Real,48385,NA,17,NA,NA,NA,17
Vitis berlandieri,Kerr,48265,NA,34,3,NA,NA,37
Vitis berlandieri,Kendall,48259,NA,28,11,NA,NA,39
Vitis berlandieri,Caldwell,48055,NA,4,NA,NA,NA,4
Vitis berlandieri,Travis,48453,1,43,2,NA,NA,46
Vitis berlandieri,Williamson,48491,NA,6,NA,NA,NA,6
Vitis berlandieri,Bell,48027,NA,15,4,NA,NA,19
Vitis berlandieri,Burnet,48053,NA,7,7,NA,NA,14
Vitis berlandieri,Lampasas,48281,NA,17,3,NA,NA,20
Vitis berlandieri,Coryell,48099,NA,8,5,NA,NA,13
Vitis berlandieri,McLennan,48309,NA,16,NA,NA,NA,16
Vitis berlandieri,Guadalupe,48187,NA,1,NA,NA,NA,1
Vitis berlandieri,Comal,48091,NA,25,NA,NA,NA,25
Vitis berlandieri,Blanco,48031,NA,24,4,NA,NA,28
Vitis berlandieri,Hays,48209,NA,15,3,NA,NA,18
Vitis berlandieri,Gillespie,48171,NA,5,11,NA,NA,16
Vitis berlandieri,Llano,48299,NA,8,NA,NA,NA,8
Vitis berlandieri,Bosque,48035,NA,1,NA,NA,NA,1
Vitis berlandieri,Johnson,48251,NA,1,NA,NA,NA,1
Vitis berlandieri,Hill,48217,NA,1,NA,NA,NA,1
Vitis berlandieri,Hamilton,48193,NA,10,NA,NA,NA,10
Vitis berlandieri,Erath,48143,NA,6,NA,NA,NA,6
Vitis berlandieri,Brazos,48041,NA,2,NA,NA,NA,2
Vitis berlandieri,Brown,48049,NA,10,NA,NA,NA,10
Vitis berlandieri,Comanche,48093,NA,12,4,NA,NA,16
Vitis berlandieri,Mills,48333,NA,7,NA,NA,NA,7
Vitis berlandieri,San Saba,48411,NA,5,NA,NA,NA,5
Vitis berlandieri,Gonzales,48177,NA,2,NA,NA,NA,2
Vitis berlandieri,Upshur,48459,NA,1,NA,NA,NA,1
Vitis berlandieri,Smith,48423,NA,1,NA,NA,NA,1
Vitis berlandieri,Cottle,48101,NA,3,NA,NA,NA,3
Vitis berlandieri,Concho,48095,NA,1,NA,NA,NA,1
Vitis berlandieri,Dallas,48113,1,3,NA,NA,NA,4
Vitis berlandieri,Denton,48121,NA,3,NA,NA,NA,3
Vitis berlandieri,Menard,48327,NA,1,NA,NA,NA,1
Vitis berlandieri,Schleicher,48413,NA,2,NA,NA,NA,2
Vitis berlandieri,Ellis,48139,NA,1,NA,NA,NA,1
Vitis berlandieri,Tarrant,48439,NA,4,NA,NA,NA,4
Vitis berlandieri,Dimmit,48127,NA,1,NA,NA,NA,1
Vitis berlandieri,Zavala,48507,NA,2,1,NA,NA,3
Vitis berlandieri,Palo Pinto,48363,NA,1,NA,NA,NA,1
Vitis berlandieri,Edwards,48137,NA,11,2,NA,NA,13
Vitis berlandieri,Kimble,48267,NA,14,2,NA,NA,16
Vitis berlandieri,Hood,48221,NA,3,NA,NA,NA,3
Vitis berlandieri,Limestone,48293,NA,2,NA,NA,NA,2
Vitis berlandieri,Mason,48319,NA,1,NA,NA,NA,1
Vitis berlandieri,Van Zandt,48467,NA,NA,1,NA,NA,1
