taxon,NAME,fips,O,H,G,bonap,usda,sum
Vitis californica,San Diego,06073,23,8,NA,1,NA,32
Vitis californica,Curry,41015,NA,10,NA,1,1,12
Vitis californica,Douglas,41019,1,17,NA,1,1,20
Vitis californica,Del Norte,06015,NA,2,NA,1,NA,3
Vitis californica,Humboldt,06023,6,14,NA,1,1,22
Vitis californica,Mendocino,06045,14,18,NA,1,1,34
Vitis californica,Sonoma,06097,57,41,NA,1,1,100
Vitis californica,Marin,06041,2,NA,NA,1,1,4
Vitis californica,Solano,06095,22,29,NA,1,1,53
Vitis californica,Sacramento,06067,102,17,NA,1,1,121
Vitis californica,San Joaquin,06077,18,11,NA,1,1,31
Vitis californica,Contra Costa,06013,125,7,NA,1,1,134
Vitis californica,Alameda,06001,3,2,NA,1,1,7
Vitis californica,Santa Clara,06085,18,2,NA,1,1,22
Vitis californica,San Mateo,06081,1,NA,NA,NA,NA,1
Vitis californica,San Francisco,06075,2,NA,NA,NA,NA,2
Vitis californica,Santa Cruz,06087,5,2,NA,1,NA,8
Vitis californica,Monterey,06053,NA,7,NA,1,1,9
Vitis californica,San Luis Obispo,06079,NA,8,NA,1,1,10
Vitis californica,Santa Barbara,06083,2,10,NA,1,NA,13
Vitis californica,Ventura,06111,NA,2,NA,NA,NA,2
Vitis californica,Los Angeles,06037,46,7,NA,1,1,55
Vitis californica,Orange,06059,2,2,NA,1,NA,5
Vitis californica,Klamath,41035,1,1,NA,1,1,4
Vitis californica,Siskiyou,06093,4,33,2,1,1,41
Vitis californica,Jackson,41029,1,30,NA,1,1,33
Vitis californica,Josephine,41033,7,44,1,1,1,54
Vitis californica,San Bernardino,06071,1,6,NA,1,1,9
Vitis californica,Riverside,06065,9,2,NA,NA,NA,11
Vitis californica,Inyo,06027,NA,2,NA,NA,NA,2
Vitis californica,El Dorado,06017,13,15,NA,1,NA,29
Vitis californica,Placer,06061,17,6,NA,1,NA,24
Vitis californica,Nevada,06057,8,3,NA,1,1,13
Vitis californica,Sierra,06091,NA,NA,NA,1,NA,1
Vitis californica,Lassen,06035,NA,1,NA,NA,NA,1
Vitis californica,Stanislaus,06099,11,5,NA,1,1,18
Vitis californica,Tuolumne,06109,1,13,NA,1,1,16
Vitis californica,Calaveras,06009,NA,2,NA,1,1,4
Vitis californica,Amador,06005,4,11,NA,1,1,17
Vitis californica,Butte,06007,45,86,3,1,1,136
Vitis californica,Yuba,06115,1,4,NA,1,NA,6
Vitis californica,Sutter,06101,2,18,NA,1,1,22
Vitis californica,Colusa,06011,3,7,NA,1,1,12
Vitis californica,Glenn,06021,7,12,NA,1,1,21
Vitis californica,Tehama,06103,8,19,2,1,1,31
Vitis californica,Plumas,06063,1,16,NA,1,1,19
Vitis californica,Yolo,06113,21,29,NA,1,1,52
Vitis californica,Lake,06033,7,30,5,1,1,44
Vitis californica,Fresno,06019,NA,11,NA,1,1,13
Vitis californica,Tulare,06107,32,39,5,1,1,78
Vitis californica,Merced,06047,1,4,1,1,NA,7
Vitis californica,Madera,06039,NA,2,NA,1,1,4
Vitis californica,Kern,06029,6,14,NA,1,1,22
Vitis californica,Napa,06055,16,43,NA,1,1,61
Vitis californica,Shasta,06089,17,41,7,1,1,67
Vitis californica,Mariposa,06043,8,10,NA,1,1,20
Vitis californica,Trinity,06105,3,16,NA,1,1,21
Vitis californica,Clackamas,41005,NA,NA,NA,1,NA,1
