taxon,NAME,fips,O,H,G,bonap,usda,sum
Vitis cinerea,Lucas,39095,NA,2,NA,1,NA,3
Vitis cinerea,Cuyahoga,39035,NA,1,NA,1,NA,2
Vitis cinerea,Hudspeth,48229,NA,NA,NA,1,NA,1
Vitis cinerea,Jeff Davis,48243,NA,NA,NA,1,NA,1
Vitis cinerea,Brewster,48043,NA,NA,NA,1,NA,1
Vitis cinerea,Val Verde,48465,1,3,NA,1,1,6
Vitis cinerea,Webb,48479,NA,NA,1,NA,NA,1
Vitis cinerea,Maverick,48323,NA,NA,NA,1,NA,1
Vitis cinerea,Kinney,48271,NA,2,NA,1,1,4
Vitis cinerea,Victoria,48469,NA,2,NA,NA,NA,2
Vitis cinerea,Matagorda,48321,NA,2,NA,1,NA,3
Vitis cinerea,Brazoria,48039,4,5,NA,1,1,11
Vitis cinerea,Harris,48201,27,14,NA,1,1,43
Vitis cinerea,Chambers,48071,NA,1,NA,NA,NA,1
Vitis cinerea,Jefferson,48245,NA,2,NA,1,NA,3
Vitis cinerea,Orange,48361,NA,3,NA,1,1,5
Vitis cinerea,Cameron,22023,NA,NA,NA,1,1,2
Vitis cinerea,Vermilion,22113,NA,NA,NA,1,1,2
Vitis cinerea,Iberia,22045,NA,NA,NA,1,1,2
Vitis cinerea,Saint Mary,22101,NA,NA,NA,1,1,2
Vitis cinerea,Terrebonne,22109,NA,NA,NA,1,1,2
Vitis cinerea,Lafourche,22057,NA,NA,NA,1,1,2
Vitis cinerea,Jefferson,22051,NA,NA,NA,1,1,2
Vitis cinerea,Plaquemines,22075,NA,NA,NA,1,1,2
Vitis cinerea,Saint Bernard,22087,NA,NA,NA,1,1,2
Vitis cinerea,Orleans,22071,NA,NA,NA,1,1,2
Vitis cinerea,Saint Charles,22089,NA,NA,NA,1,1,2
Vitis cinerea,Tangipahoa,22105,NA,NA,NA,1,1,2
Vitis cinerea,Saint Tammany,22103,NA,NA,NA,1,1,2
Vitis cinerea,Harrison,28047,NA,NA,NA,1,1,2
Vitis cinerea,Jackson,28059,NA,2,NA,1,NA,3
Vitis cinerea,Mobile,01097,NA,7,NA,1,NA,8
Vitis cinerea,Baldwin,01003,NA,3,NA,1,NA,4
Vitis cinerea,Okaloosa,12091,NA,2,NA,1,1,4
Vitis cinerea,Walton,12131,NA,NA,NA,1,NA,1
Vitis cinerea,Gulf,12045,NA,NA,NA,1,1,2
Vitis cinerea,Franklin,12037,5,2,NA,1,1,9
Vitis cinerea,Wakulla,12129,NA,NA,NA,1,1,2
Vitis cinerea,Jefferson,12065,NA,NA,NA,1,1,2
Vitis cinerea,Taylor,12123,NA,3,NA,1,1,5
Vitis cinerea,Dixie,12029,NA,4,NA,1,1,6
Vitis cinerea,Levy,12075,NA,4,NA,1,1,6
Vitis cinerea,Citrus,12017,2,1,NA,1,1,5
