taxon,NAME,fips,O,H,G,bonap,usda,sum
Vitis girdiana,Imperial,06025,NA,NA,NA,1,NA,1
Vitis girdiana,San Diego,06073,33,120,11,1,1,166
Vitis girdiana,Santa Barbara,06083,NA,4,NA,1,1,6
Vitis girdiana,Ventura,06111,1,4,NA,1,NA,6
Vitis girdiana,Los Angeles,06037,8,63,2,1,1,75
Vitis girdiana,Orange,06059,5,17,NA,1,1,24
Vitis girdiana,San Bernardino,06071,2,68,NA,1,1,72
Vitis girdiana,Riverside,06065,8,40,1,1,1,51
Vitis girdiana,Inyo,06027,1,15,12,1,1,30
Vitis girdiana,Yolo,06113,NA,1,NA,NA,NA,1
Vitis girdiana,Kern,06029,NA,6,8,1,1,16
