taxon,NAME,fips,O,H,G,bonap,usda,sum
Vitis labrusca,Lucas,39095,1,NA,NA,1,NA,2
Vitis labrusca,Ottawa,39123,NA,2,NA,1,1,4
Vitis labrusca,Erie,39043,NA,NA,NA,1,1,2
Vitis labrusca,Lorain,39093,1,3,NA,1,1,6
Vitis labrusca,Cuyahoga,39035,2,NA,NA,1,1,4
Vitis labrusca,Lake,39085,NA,1,NA,1,1,3
Vitis labrusca,Ashtabula,39007,NA,NA,NA,1,1,2
Vitis labrusca,Erie,42049,3,1,NA,1,1,6
Vitis labrusca,Chautauqua,36013,NA,1,NA,NA,NA,1
Vitis labrusca,Erie,36029,1,NA,NA,NA,NA,1
Vitis labrusca,Cayuga,36011,NA,NA,NA,1,1,2
Vitis labrusca,Saint Lawrence,36089,NA,NA,NA,1,1,2
Vitis labrusca,Oxford,23017,NA,3,NA,1,1,5
Vitis labrusca,Franklin,23007,NA,NA,NA,1,1,2
Vitis labrusca,Somerset,23025,NA,NA,NA,1,1,2
Vitis labrusca,Chatham,13051,NA,3,NA,NA,NA,3
Vitis labrusca,Beaufort,45013,NA,3,NA,1,NA,4
Vitis labrusca,Colleton,45029,NA,3,NA,1,NA,4
Vitis labrusca,Charleston,45019,NA,1,NA,1,1,3
Vitis labrusca,Berkeley,45015,1,1,NA,1,NA,3
Vitis labrusca,Georgetown,45043,NA,4,NA,1,1,6
Vitis labrusca,Horry,45051,NA,4,NA,1,NA,5
Vitis labrusca,Brunswick,37019,NA,1,NA,1,NA,2
Vitis labrusca,Pender,37141,NA,NA,NA,1,NA,1
Vitis labrusca,Onslow,37133,NA,NA,NA,1,NA,1
Vitis labrusca,Carteret,37031,NA,2,NA,1,NA,3
Vitis labrusca,Craven,37049,NA,NA,NA,1,NA,1
Vitis labrusca,Beaufort,37013,NA,1,NA,1,NA,2
Vitis labrusca,Dare,37055,NA,3,NA,1,NA,4
Vitis labrusca,Tyrrell,37177,NA,2,NA,1,NA,3
Vitis labrusca,Washington,37187,NA,1,NA,NA,NA,1
Vitis labrusca,Bertie,37015,NA,NA,NA,1,NA,1
Vitis labrusca,Hertford,37091,NA,1,NA,NA,NA,1
Vitis labrusca,Gates,37073,NA,3,NA,1,NA,4
Vitis labrusca,Virginia Beach,51810,NA,NA,NA,1,1,2
Vitis labrusca,Suffolk,51800,NA,NA,NA,1,1,2
Vitis labrusca,Isle of Wight,51093,NA,NA,NA,1,1,2
Vitis labrusca,Surry,51181,NA,1,NA,1,NA,2
Vitis labrusca,Prince George,51149,NA,2,NA,1,1,4
Vitis labrusca,Chesterfield,51041,NA,2,NA,1,1,4
Vitis labrusca,Charles City,51036,NA,NA,NA,1,1,2
Vitis labrusca,James City,51095,NA,NA,NA,1,1,2
Vitis labrusca,Newport News,51700,NA,NA,NA,1,1,2
Vitis labrusca,Hampton,51650,NA,NA,NA,1,1,2
Vitis labrusca,New Kent,51127,NA,4,NA,1,1,6
Vitis labrusca,King William,51101,NA,1,NA,1,1,3
Vitis labrusca,King and Queen,51097,NA,2,NA,1,1,4
Vitis labrusca,Gloucester,51073,NA,NA,NA,1,1,2
Vitis labrusca,Middlesex,51119,NA,3,NA,1,1,5
Vitis labrusca,Essex,51057,NA,1,NA,1,1,3
Vitis labrusca,Caroline,51033,NA,3,NA,1,1,5
Vitis labrusca,King George,51099,NA,9,NA,1,1,11
Vitis labrusca,Westmoreland,51193,NA,2,NA,1,1,4
Vitis labrusca,Richmond,51159,NA,1,NA,1,1,3
Vitis labrusca,Lancaster,51103,NA,1,NA,1,1,3
Vitis labrusca,Northumberland,51133,NA,1,NA,1,1,3
Vitis labrusca,Stafford,51179,NA,2,NA,1,1,4
Vitis labrusca,Prince William,51153,1,7,NA,1,1,10
Vitis labrusca,Fairfax,51059,1,20,NA,1,1,23
Vitis labrusca,Alexandria,51510,NA,NA,NA,1,NA,1
Vitis labrusca,Arlington,51013,NA,NA,NA,1,1,2
Vitis labrusca,Prince George's,24033,4,22,NA,1,NA,27
Vitis labrusca,Charles,24017,NA,NA,NA,1,NA,1
Vitis labrusca,Saint Mary's,24037,1,1,NA,1,NA,3
Vitis labrusca,Calvert,24009,NA,NA,NA,1,NA,1
Vitis labrusca,Anne Arundel,24003,NA,3,NA,1,NA,4
Vitis labrusca,Baltimore,24005,NA,3,NA,1,NA,4
Vitis labrusca,Harford,24025,NA,5,NA,1,NA,6
Vitis labrusca,Cecil,24015,NA,5,NA,1,NA,6
Vitis labrusca,Kent,24029,NA,1,NA,1,NA,2
Vitis labrusca,Queen Anne's,24035,1,1,NA,1,NA,3
Vitis labrusca,Talbot,24041,NA,1,NA,1,NA,2
Vitis labrusca,Dorchester,24019,1,2,NA,1,NA,4
Vitis labrusca,Wicomico,24045,NA,3,NA,1,NA,4
Vitis labrusca,Accomack,51001,NA,1,NA,1,1,3
Vitis labrusca,Northampton,51131,NA,NA,NA,1,1,2
Vitis labrusca,Worcester,24047,1,1,NA,1,NA,3
Vitis labrusca,Sussex,10005,1,7,NA,1,NA,9
Vitis labrusca,Kent,10001,NA,6,NA,1,1,8
Vitis labrusca,New Castle,10003,NA,14,NA,1,1,16
Vitis labrusca,Delaware,42045,NA,14,NA,1,1,16
Vitis labrusca,Philadelphia,42101,1,9,NA,1,1,12
Vitis labrusca,Burlington,34005,1,24,NA,1,1,27
Vitis labrusca,Camden,34007,NA,16,NA,1,1,18
Vitis labrusca,Gloucester,34015,3,14,NA,1,NA,18
Vitis labrusca,Salem,34033,1,2,NA,1,NA,4
Vitis labrusca,Cumberland,34011,1,10,NA,1,1,13
Vitis labrusca,Cape May,34009,NA,15,NA,1,1,17
Vitis labrusca,Atlantic,34001,NA,8,NA,1,1,10
Vitis labrusca,Ocean,34029,NA,19,NA,1,1,21
Vitis labrusca,Monmouth,34025,NA,7,NA,1,1,9
Vitis labrusca,Middlesex,34023,NA,10,NA,1,1,12
Vitis labrusca,Union,34039,NA,6,NA,1,1,8
Vitis labrusca,Essex,34013,NA,1,NA,1,1,3
Vitis labrusca,Hudson,34017,NA,5,NA,1,1,7
Vitis labrusca,Bergen,34003,NA,5,NA,1,1,7
Vitis labrusca,Rockland,36087,NA,1,NA,1,1,3
Vitis labrusca,Westchester,36119,5,13,NA,1,1,20
Vitis labrusca,Bronx,36005,NA,14,NA,1,1,16
Vitis labrusca,Fairfield,09001,4,12,NA,1,1,18
Vitis labrusca,New Haven,09009,2,12,NA,1,1,16
Vitis labrusca,Middlesex,09007,1,3,NA,1,1,6
Vitis labrusca,New London,09011,1,9,NA,1,1,12
Vitis labrusca,Washington,44009,23,8,NA,1,1,33
Vitis labrusca,Kent,44003,NA,7,NA,1,1,9
Vitis labrusca,Providence,44007,3,10,NA,1,1,15
Vitis labrusca,Bristol,44001,1,1,NA,1,1,4
Vitis labrusca,Bristol,25005,NA,5,NA,1,1,7
Vitis labrusca,Newport,44005,1,3,NA,1,1,6
Vitis labrusca,Plymouth,25023,NA,3,NA,1,1,5
Vitis labrusca,Barnstable,25001,5,9,NA,1,1,16
Vitis labrusca,Norfolk,25021,10,11,NA,1,1,23
Vitis labrusca,Suffolk,25025,NA,6,NA,1,1,8
Vitis labrusca,Essex,25009,2,8,NA,1,1,12
Vitis labrusca,Rockingham,33015,1,4,NA,1,1,7
Vitis labrusca,York,23031,1,2,NA,1,1,5
Vitis labrusca,New York,36061,2,4,NA,1,1,8
Vitis labrusca,Hancock,23009,NA,NA,NA,1,NA,1
Vitis labrusca,Waldo,23027,NA,NA,NA,1,1,2
Vitis labrusca,Knox,23013,NA,NA,NA,1,1,2
Vitis labrusca,Lincoln,23015,NA,NA,NA,1,1,2
Vitis labrusca,Sagadahoc,23023,NA,NA,NA,1,1,2
Vitis labrusca,Cumberland,23005,2,NA,NA,1,NA,3
Vitis labrusca,Suffolk,36103,5,12,NA,1,1,19
Vitis labrusca,Nassau,36059,3,5,NA,1,1,10
Vitis labrusca,Richmond,36085,NA,16,NA,1,1,18
Vitis labrusca,Queens,36081,NA,2,NA,1,1,4
Vitis labrusca,Kings,36047,NA,NA,NA,1,1,2
Vitis labrusca,Nantucket,25019,8,3,NA,1,1,13
Vitis labrusca,Dukes,25007,9,1,NA,1,1,12
Vitis labrusca,Allegan,26005,NA,2,NA,1,1,4
Vitis labrusca,Racine,55101,NA,NA,NA,1,NA,1
Vitis labrusca,Ottawa,26139,NA,1,NA,1,1,3
Vitis labrusca,Milwaukee,55079,NA,NA,NA,1,1,2
Vitis labrusca,Muskegon,26121,NA,1,NA,1,NA,2
Vitis labrusca,Benzie,26019,NA,2,NA,1,NA,3
Vitis labrusca,Door,55029,NA,NA,NA,1,NA,1
Vitis labrusca,Leelanau,26089,1,NA,NA,NA,NA,1
Vitis labrusca,Adams,17001,NA,1,NA,NA,NA,1
Vitis labrusca,Pike,17149,NA,1,NA,1,NA,2
Vitis labrusca,Saint Clair,17163,NA,19,NA,NA,NA,19
Vitis labrusca,Jackson,17077,NA,NA,NA,1,1,2
Vitis labrusca,Hickman,21105,NA,4,NA,1,1,6
Vitis labrusca,Claiborne,28021,NA,1,NA,1,NA,2
Vitis labrusca,Coahoma,28027,NA,3,NA,1,NA,4
Vitis labrusca,Washington,28151,NA,3,NA,1,NA,4
Vitis labrusca,Dyer,47045,NA,1,NA,1,NA,2
Vitis labrusca,Tipton,47167,NA,1,NA,1,NA,2
Vitis labrusca,Shelby,47157,1,2,NA,1,NA,4
Vitis labrusca,Boyd,21019,NA,NA,NA,1,1,2
Vitis labrusca,Lawrence,39087,NA,1,NA,1,NA,2
Vitis labrusca,Hamilton,39061,NA,NA,NA,1,1,2
Vitis labrusca,Clermont,39025,NA,3,NA,1,1,5
Vitis labrusca,Brown,39015,NA,NA,NA,1,1,2
Vitis labrusca,Scioto,39145,NA,NA,NA,1,1,2
Vitis labrusca,Trigg,21221,NA,1,NA,1,NA,2
Vitis labrusca,Calloway,21035,NA,1,NA,1,NA,2
Vitis labrusca,Sumner,47165,NA,NA,NA,1,1,2
Vitis labrusca,Montgomery,47125,NA,1,NA,NA,NA,1
Vitis labrusca,Whitley,21235,1,NA,NA,NA,NA,1
Vitis labrusca,McCreary,21147,NA,NA,NA,1,1,2
Vitis labrusca,Scott,47151,2,1,NA,1,1,5
Vitis labrusca,Wayne,21231,NA,1,NA,1,NA,2
Vitis labrusca,Pickett,47137,NA,1,NA,1,NA,2
Vitis labrusca,Clinton,21053,NA,1,NA,1,NA,2
Vitis labrusca,Lauderdale,01077,NA,1,NA,NA,NA,1
Vitis labrusca,Marion,47115,NA,2,NA,1,NA,3
Vitis labrusca,Lawrence,42073,NA,NA,NA,1,1,2
Vitis labrusca,Mahoning,39099,NA,NA,NA,1,1,2
Vitis labrusca,Mercer,42085,NA,1,NA,1,1,3
