taxon,NAME,fips,O,H,G,bonap,usda,sum
Vitis lincecumii,Doña Ana,35013,NA,1,NA,NA,NA,1
Vitis lincecumii,Val Verde,48465,NA,1,NA,NA,NA,1
Vitis lincecumii,Alameda,06001,NA,3,NA,NA,NA,3
Vitis lincecumii,McCurtain,40089,NA,1,NA,NA,NA,1
Vitis lincecumii,Marshall,40095,NA,1,NA,NA,NA,1
Vitis lincecumii,Cooke,48097,NA,1,NA,NA,NA,1
Vitis lincecumii,Ottawa,40115,NA,4,NA,NA,NA,4
Vitis lincecumii,Miller,05091,4,1,NA,NA,NA,5
Vitis lincecumii,Cass,48067,NA,3,NA,NA,NA,3
Vitis lincecumii,Benton,05007,NA,3,NA,NA,NA,3
Vitis lincecumii,Marion,05089,NA,2,NA,NA,NA,2
Vitis lincecumii,Newton,48351,NA,4,NA,NA,NA,4
Vitis lincecumii,Harrison,48203,NA,2,NA,NA,NA,2
Vitis lincecumii,Columbia,05027,NA,1,NA,NA,NA,1
Vitis lincecumii,Lauderdale,28075,NA,1,NA,NA,NA,1
Vitis lincecumii,Drew,05043,NA,1,NA,NA,NA,1
Vitis lincecumii,Stone,05137,NA,1,NA,NA,NA,1
Vitis lincecumii,Newton,05101,NA,1,NA,NA,NA,1
Vitis lincecumii,Hot Spring,05059,NA,2,NA,NA,NA,2
Vitis lincecumii,Ouachita,05103,1,NA,NA,NA,NA,1
Vitis lincecumii,Nevada,05099,NA,1,NA,NA,NA,1
Vitis lincecumii,Montgomery,05097,NA,1,NA,NA,NA,1
Vitis lincecumii,Garland,05051,NA,4,NA,NA,NA,4
Vitis lincecumii,Clarke,13059,NA,1,NA,NA,NA,1
Vitis lincecumii,Boone,29019,NA,1,NA,NA,NA,1
Vitis lincecumii,Cherokee,40021,NA,1,NA,NA,NA,1
Vitis lincecumii,Atoka,40005,NA,1,NA,NA,NA,1
Vitis lincecumii,Muskogee,40101,NA,1,NA,NA,NA,1
Vitis lincecumii,Anderson,48001,5,1,NA,NA,NA,6
Vitis lincecumii,Leon,48289,NA,5,NA,NA,NA,5
Vitis lincecumii,Freestone,48161,NA,2,NA,NA,NA,2
Vitis lincecumii,Henderson,48213,1,1,NA,NA,NA,2
Vitis lincecumii,Cherokee,48073,NA,2,NA,NA,NA,2
Vitis lincecumii,Jasper,48241,NA,1,NA,NA,NA,1
Vitis lincecumii,Polk,48373,NA,1,NA,NA,NA,1
Vitis lincecumii,Nacogdoches,48347,1,4,NA,NA,NA,5
Vitis lincecumii,Washington,48477,1,NA,NA,NA,NA,1
Vitis lincecumii,Bastrop,48021,4,4,NA,NA,NA,8
Vitis lincecumii,Caldwell,48055,NA,1,NA,NA,NA,1
Vitis lincecumii,Milam,48331,NA,8,NA,NA,NA,8
Vitis lincecumii,Lampasas,48281,NA,1,NA,NA,NA,1
Vitis lincecumii,Morris,48343,NA,1,NA,NA,NA,1
Vitis lincecumii,Brazos,48041,NA,9,NA,NA,NA,9
Vitis lincecumii,Grimes,48185,1,3,NA,NA,NA,4
Vitis lincecumii,Burleson,48051,1,1,NA,NA,NA,2
Vitis lincecumii,Robertson,48395,NA,3,NA,NA,NA,3
Vitis lincecumii,Madison,48313,NA,1,NA,NA,NA,1
Vitis lincecumii,Wood,48499,2,2,NA,NA,NA,4
Vitis lincecumii,Rusk,48401,NA,2,NA,NA,NA,2
Vitis lincecumii,Smith,48423,1,7,NA,NA,NA,8
Vitis lincecumii,Dallas,48113,NA,2,NA,NA,NA,2
Vitis lincecumii,Limestone,48293,NA,2,NA,NA,NA,2
Vitis lincecumii,Walker,48471,1,3,NA,NA,NA,4
Vitis lincecumii,Montgomery,48339,1,3,NA,NA,NA,4
Vitis lincecumii,Van Zandt,48467,1,NA,NA,NA,NA,1
Vitis lincecumii,Rains,48379,NA,1,NA,NA,NA,1
Vitis lincecumii,San Jacinto,48407,NA,2,NA,NA,NA,2
