taxon,NAME,fips,O,H,G,bonap,usda,sum
Vitis monticola,Val Verde,48465,1,16,NA,1,1,19
Vitis monticola,Kinney,48271,1,4,NA,1,1,7
Vitis monticola,Culberson,48109,NA,1,NA,1,NA,2
Vitis monticola,Grayson,48181,NA,4,NA,1,NA,5
Vitis monticola,Fannin,48147,NA,NA,1,NA,NA,1
Vitis monticola,Henderson,48213,NA,NA,1,NA,NA,1
Vitis monticola,Medina,48325,NA,8,1,1,NA,10
Vitis monticola,Bexar,48029,33,7,NA,1,1,42
Vitis monticola,Austin,48015,NA,1,NA,NA,NA,1
Vitis monticola,Washington,48477,NA,NA,NA,1,NA,1
Vitis monticola,Bandera,48019,NA,27,NA,1,1,29
Vitis monticola,Uvalde,48463,NA,9,NA,1,1,11
Vitis monticola,Real,48385,NA,7,NA,1,1,9
Vitis monticola,Kerr,48265,3,52,1,1,1,58
Vitis monticola,Kendall,48259,6,23,3,1,NA,33
Vitis monticola,Travis,48453,20,38,1,1,1,61
Vitis monticola,Williamson,48491,2,2,NA,1,NA,5
Vitis monticola,Bell,48027,1,25,NA,1,1,28
Vitis monticola,Burnet,48053,1,NA,NA,NA,NA,1
Vitis monticola,Lampasas,48281,NA,4,NA,1,NA,5
Vitis monticola,Coryell,48099,NA,33,3,1,1,38
Vitis monticola,Guadalupe,48187,NA,NA,NA,1,NA,1
Vitis monticola,Comal,48091,4,15,NA,1,1,21
Vitis monticola,Blanco,48031,3,12,NA,1,1,17
Vitis monticola,Hays,48209,4,10,NA,1,NA,15
Vitis monticola,Gillespie,48171,1,6,NA,1,NA,8
Vitis monticola,Llano,48299,NA,1,NA,1,NA,2
Vitis monticola,Bosque,48035,NA,NA,NA,1,NA,1
Vitis monticola,Erath,48143,NA,2,NA,1,NA,3
Vitis monticola,Madison,48313,NA,2,NA,1,NA,3
Vitis monticola,Motley,48345,NA,1,NA,NA,NA,1
Vitis monticola,San Saba,48411,NA,3,NA,1,NA,4
Vitis monticola,Smith,48423,NA,1,NA,NA,NA,1
Vitis monticola,Tom Green,48451,NA,1,NA,1,1,3
Vitis monticola,Dallas,48113,NA,1,NA,1,NA,2
Vitis monticola,Menard,48327,NA,1,NA,1,NA,2
Vitis monticola,Tarrant,48439,NA,1,NA,NA,NA,1
Vitis monticola,Palo Pinto,48363,NA,NA,NA,1,NA,1
Vitis monticola,Edwards,48137,15,7,NA,1,1,24
Vitis monticola,Kimble,48267,NA,2,1,NA,NA,3
