taxon,NAME,fips,O,H,G,bonap,usda,sum
Vitis mustangensis,Val Verde,48465,NA,1,NA,1,NA,2
Vitis mustangensis,Maverick,48323,NA,1,NA,NA,NA,1
Vitis mustangensis,Hidalgo,48215,3,2,NA,1,NA,6
Vitis mustangensis,Cameron,48061,1,2,NA,NA,NA,3
Vitis mustangensis,Kenedy,48261,4,4,NA,1,1,10
Vitis mustangensis,Kleberg,48273,NA,1,NA,NA,NA,1
Vitis mustangensis,Nueces,48355,25,1,NA,1,1,28
Vitis mustangensis,San Patricio,48409,17,11,NA,1,1,30
Vitis mustangensis,Aransas,48007,19,9,NA,1,1,30
Vitis mustangensis,Refugio,48391,3,6,NA,1,NA,10
Vitis mustangensis,Calhoun,48057,4,4,NA,1,NA,9
Vitis mustangensis,Victoria,48469,11,3,NA,1,NA,15
Vitis mustangensis,Jackson,48239,5,5,NA,1,NA,11
Vitis mustangensis,Matagorda,48321,2,6,NA,1,NA,9
Vitis mustangensis,Brazoria,48039,41,9,NA,1,1,52
Vitis mustangensis,Galveston,48167,43,13,NA,1,1,58
Vitis mustangensis,Harris,48201,334,20,NA,1,1,356
Vitis mustangensis,Chambers,48071,4,2,NA,1,NA,7
Vitis mustangensis,Jefferson,48245,4,3,NA,1,NA,8
Vitis mustangensis,Cameron,22023,NA,NA,NA,1,1,2
Vitis mustangensis,Saint Mary,22101,NA,NA,NA,1,1,2
Vitis mustangensis,Terrebonne,22109,NA,NA,NA,1,1,2
Vitis mustangensis,Lafourche,22057,NA,NA,NA,1,1,2
Vitis mustangensis,Mobile,01097,NA,NA,NA,1,NA,1
Vitis mustangensis,Hardeman,48197,NA,1,NA,NA,NA,1
Vitis mustangensis,Tillman,40141,NA,1,NA,NA,NA,1
Vitis mustangensis,Wichita,48485,NA,1,NA,NA,NA,1
Vitis mustangensis,Cotton,40033,NA,NA,4,1,NA,5
Vitis mustangensis,Jefferson,40067,NA,1,NA,1,NA,2
Vitis mustangensis,Clay,48077,NA,2,NA,NA,NA,2
Vitis mustangensis,Montague,48337,3,NA,1,NA,NA,4
Vitis mustangensis,Choctaw,40023,NA,1,NA,1,NA,2
Vitis mustangensis,Marshall,40095,2,8,NA,1,NA,11
Vitis mustangensis,Grayson,48181,3,16,NA,1,NA,20
Vitis mustangensis,Love,40085,1,1,NA,1,NA,3
Vitis mustangensis,Cooke,48097,NA,1,NA,NA,NA,1
Vitis mustangensis,Bryan,40013,3,4,NA,1,NA,8
Vitis mustangensis,Fannin,48147,NA,1,NA,NA,NA,1
Vitis mustangensis,Claiborne,28021,NA,1,NA,NA,NA,1
Vitis mustangensis,Le Flore,40079,NA,NA,NA,1,NA,1
Vitis mustangensis,Newton,48351,NA,1,NA,1,NA,2
Vitis mustangensis,Panola,48365,NA,1,NA,NA,NA,1
Vitis mustangensis,Harrison,48203,1,1,NA,1,NA,3
Vitis mustangensis,Marion,48315,NA,NA,NA,NA,1,1
Vitis mustangensis,Calcasieu,22019,NA,NA,NA,1,1,2
Vitis mustangensis,Lauderdale,28075,NA,1,NA,1,NA,2
Vitis mustangensis,Montgomery,01101,NA,1,NA,NA,NA,1
Vitis mustangensis,Lowndes,01085,NA,NA,NA,NA,1,1
Vitis mustangensis,Wilcox,01131,1,7,NA,1,1,10
Vitis mustangensis,Bienville,22013,NA,NA,NA,1,1,2
Vitis mustangensis,Red River,22081,NA,NA,NA,1,1,2
Vitis mustangensis,Ouachita,22073,NA,NA,NA,1,1,2
Vitis mustangensis,Jones,28067,3,NA,NA,NA,NA,3
Vitis mustangensis,Atoka,40005,NA,NA,NA,1,NA,1
Vitis mustangensis,Johnston,40069,NA,3,NA,1,NA,4
Vitis mustangensis,Washita,40149,NA,NA,NA,1,NA,1
Vitis mustangensis,Oklahoma,40109,1,NA,NA,NA,NA,1
Vitis mustangensis,McClain,40087,NA,NA,NA,1,NA,1
Vitis mustangensis,Carter,40019,NA,NA,NA,1,NA,1
Vitis mustangensis,Muskogee,40101,1,NA,NA,NA,NA,1
Vitis mustangensis,Wagoner,40145,1,NA,NA,NA,NA,1
Vitis mustangensis,Anderson,48001,7,15,2,1,1,26
Vitis mustangensis,Houston,48225,2,4,NA,1,NA,7
Vitis mustangensis,Leon,48289,5,11,NA,1,1,18
Vitis mustangensis,Freestone,48161,3,8,NA,1,1,13
Vitis mustangensis,Henderson,48213,13,2,2,1,NA,18
Vitis mustangensis,Cherokee,48073,3,2,NA,NA,NA,5
Vitis mustangensis,Martin,48317,NA,NA,NA,NA,1,1
Vitis mustangensis,Midland,48329,1,NA,NA,NA,NA,1
Vitis mustangensis,Angelina,48005,1,NA,NA,NA,NA,1
Vitis mustangensis,Jasper,48241,3,NA,NA,NA,NA,3
Vitis mustangensis,Tyler,48457,NA,1,NA,NA,NA,1
Vitis mustangensis,Polk,48373,3,3,NA,1,NA,7
Vitis mustangensis,Trinity,48455,1,1,NA,1,NA,3
Vitis mustangensis,Nacogdoches,48347,1,NA,NA,NA,NA,1
Vitis mustangensis,Jack,48237,1,2,NA,NA,NA,3
Vitis mustangensis,Atascosa,48013,4,9,NA,1,NA,14
Vitis mustangensis,Wilson,48493,22,8,NA,1,1,32
Vitis mustangensis,Karnes,48255,NA,6,NA,1,1,8
Vitis mustangensis,Live Oak,48297,NA,4,NA,1,1,6
Vitis mustangensis,McMullen,48311,NA,4,NA,1,NA,5
Vitis mustangensis,Frio,48163,NA,4,NA,NA,NA,4
Vitis mustangensis,Medina,48325,5,2,1,NA,NA,8
Vitis mustangensis,Bexar,48029,165,17,NA,1,NA,183
Vitis mustangensis,Austin,48015,17,2,NA,1,1,21
Vitis mustangensis,Waller,48473,11,8,NA,1,1,21
Vitis mustangensis,Fort Bend,48157,71,3,NA,1,1,76
Vitis mustangensis,Wharton,48481,2,3,NA,1,1,7
Vitis mustangensis,Colorado,48089,6,9,NA,1,1,17
Vitis mustangensis,Fayette,48149,10,11,NA,1,1,23
Vitis mustangensis,Washington,48477,15,16,NA,1,1,33
Vitis mustangensis,Bandera,48019,5,2,NA,NA,NA,7
Vitis mustangensis,Uvalde,48463,NA,18,NA,1,NA,19
Vitis mustangensis,Kerr,48265,2,2,1,1,NA,6
