taxon,NAME,fips,O,H,G,bonap,usda,sum
Vitis palmata,Brewster,48043,NA,7,NA,1,NA,8
Vitis palmata,Brazoria,48039,1,1,NA,1,NA,3
Vitis palmata,Harris,48201,NA,1,NA,1,NA,2
Vitis palmata,Iberia,22045,NA,NA,NA,1,1,2
Vitis palmata,Saint Mary,22101,NA,NA,NA,1,1,2
Vitis palmata,Saint Tammany,22103,NA,NA,NA,1,1,2
Vitis palmata,Mobile,01097,NA,1,NA,1,NA,2
Vitis palmata,Baldwin,01003,NA,2,NA,1,NA,3
Vitis palmata,Santa Rosa,12113,2,1,NA,1,1,5
Vitis palmata,Franklin,12037,1,NA,NA,NA,NA,1
Vitis palmata,Camden,13039,NA,1,NA,1,NA,2
Vitis palmata,Chatham,13051,NA,2,NA,1,NA,3
Vitis palmata,McCurtain,40089,NA,6,NA,1,NA,7
Vitis palmata,Bowie,48037,NA,1,NA,NA,NA,1
Vitis palmata,Red River,48387,NA,NA,NA,1,NA,1
Vitis palmata,Choctaw,40023,NA,NA,NA,1,NA,1
Vitis palmata,Grayson,48181,NA,2,NA,1,NA,3
Vitis palmata,Love,40085,1,NA,NA,NA,NA,1
Vitis palmata,Lamar,48277,1,2,NA,1,NA,4
Vitis palmata,Bryan,40013,NA,NA,NA,1,NA,1
Vitis palmata,Fannin,48147,NA,1,NA,1,NA,2
Vitis palmata,Lewis,29111,NA,1,NA,1,NA,2
Vitis palmata,Adams,17001,NA,NA,NA,1,1,2
Vitis palmata,Pike,17149,NA,1,NA,1,1,3
Vitis palmata,Pike,29163,NA,3,NA,1,1,5
Vitis palmata,Calhoun,17013,NA,1,NA,1,1,3
Vitis palmata,Lincoln,29113,NA,2,NA,1,NA,3
Vitis palmata,Saint Charles,29183,NA,8,NA,1,1,10
Vitis palmata,Jersey,17083,NA,4,NA,1,NA,5
Vitis palmata,Madison,17119,NA,5,NA,NA,NA,5
Vitis palmata,Saint Louis,29189,NA,10,NA,1,1,12
Vitis palmata,Saint Louis,29510,NA,NA,NA,1,NA,1
Vitis palmata,Saint Clair,17163,NA,5,NA,1,1,7
Vitis palmata,Jefferson,29099,NA,3,NA,1,1,5
Vitis palmata,Randolph,17157,NA,NA,NA,1,1,2
Vitis palmata,Jackson,17077,NA,2,NA,1,1,4
Vitis palmata,Union,17181,NA,1,NA,NA,NA,1
Vitis palmata,Cape Girardeau,29031,NA,2,NA,1,1,4
Vitis palmata,Alexander,17003,NA,9,NA,1,1,11
Vitis palmata,Mississippi,29133,NA,4,NA,1,1,6
Vitis palmata,Ballard,21007,NA,3,NA,1,1,5
Vitis palmata,Carlisle,21039,NA,NA,NA,1,1,2
Vitis palmata,Hickman,21105,NA,2,NA,1,1,4
Vitis palmata,Fulton,21075,1,3,NA,1,1,6
Vitis palmata,New Madrid,29143,NA,1,NA,1,1,3
Vitis palmata,East Carroll,22035,NA,NA,NA,1,1,2
Vitis palmata,Issaquena,28055,NA,1,NA,1,1,3
Vitis palmata,Madison,22065,NA,NA,NA,1,1,2
Vitis palmata,Warren,28149,NA,1,NA,NA,NA,1
Vitis palmata,Tensas,22107,NA,NA,NA,1,1,2
Vitis palmata,Claiborne,28021,NA,1,NA,1,NA,2
Vitis palmata,Jefferson,28063,1,NA,NA,NA,NA,1
Vitis palmata,Concordia,22029,NA,NA,NA,1,1,2
Vitis palmata,West Feliciana,22125,NA,NA,NA,1,1,2
Vitis palmata,Washington,22117,NA,NA,NA,1,1,2
Vitis palmata,Pearl River,28109,NA,NA,NA,1,NA,1
Vitis palmata,Marion,28091,NA,1,NA,NA,NA,1
Vitis palmata,Crittenden,05035,NA,13,NA,1,1,15
Vitis palmata,DeSoto,28033,NA,3,NA,1,1,5
Vitis palmata,Tunica,28143,NA,5,NA,1,1,7
Vitis palmata,Lee,05077,NA,4,NA,1,1,6
Vitis palmata,Phillips,05107,NA,7,NA,1,1,9
Vitis palmata,Coahoma,28027,NA,1,NA,1,NA,2
Vitis palmata,Bolivar,28011,NA,1,NA,NA,NA,1
Vitis palmata,Chicot,05017,NA,NA,NA,1,1,2
Vitis palmata,Washington,28151,NA,31,NA,1,1,33
Vitis palmata,Mississippi,05093,NA,3,NA,1,1,5
Vitis palmata,Dyer,47045,NA,1,NA,1,1,3
Vitis palmata,Lauderdale,47097,NA,3,NA,1,1,5
Vitis palmata,Tipton,47167,NA,2,NA,1,1,4
Vitis palmata,Shelby,47157,NA,3,NA,1,1,5
Vitis palmata,Lake,47095,NA,3,NA,1,1,5
Vitis palmata,Clay,29047,1,NA,NA,NA,NA,1
Vitis palmata,Miller,05091,NA,4,NA,1,1,6
Vitis palmata,Cass,48067,NA,1,NA,NA,NA,1
Vitis palmata,Benton,05007,NA,1,NA,NA,NA,1
Vitis palmata,Crawford,05033,NA,1,NA,NA,NA,1
Vitis palmata,Le Flore,40079,NA,1,NA,1,NA,2
Vitis palmata,Sebastian,05131,NA,2,NA,1,1,4
Vitis palmata,Polk,05113,NA,1,NA,1,NA,2
Vitis palmata,Sevier,05133,NA,NA,NA,1,NA,1
Vitis palmata,Clay,05021,NA,5,NA,1,1,7
Vitis palmata,Dunklin,29069,NA,8,NA,1,1,10
Vitis palmata,Greene,05055,NA,1,NA,1,NA,2
Vitis palmata,Craighead,05031,1,4,NA,1,1,7
Vitis palmata,Stone,29209,NA,1,NA,NA,NA,1
Vitis palmata,Randolph,05121,NA,1,NA,NA,NA,1
Vitis palmata,Ripley,29181,NA,3,NA,1,1,5
Vitis palmata,Butler,29023,NA,7,NA,1,1,9
Vitis palmata,Pemiscot,29155,NA,2,NA,1,1,4
Vitis palmata,Trigg,21221,NA,2,NA,1,NA,3
Vitis palmata,Stewart,47161,NA,5,NA,1,1,7
Vitis palmata,Calloway,21035,3,3,NA,1,NA,7
Vitis palmata,Cumberland,21057,NA,1,NA,1,NA,2
Vitis palmata,Montgomery,47125,NA,2,NA,1,NA,3
Vitis palmata,Obion,47131,NA,7,NA,1,1,9
Vitis palmata,Henry,47079,NA,1,NA,1,1,3
Vitis palmata,Hardin,47071,NA,NA,NA,1,1,2
Vitis palmata,Madison,01089,NA,1,NA,NA,NA,1
Vitis palmata,Marion,47115,NA,1,NA,1,NA,2
Vitis palmata,Jackson,01071,NA,1,NA,1,NA,2
Vitis palmata,Franklin,47051,NA,2,NA,1,1,4
Vitis palmata,Newton,48351,NA,1,NA,NA,NA,1
Vitis palmata,De Soto,22031,NA,NA,NA,1,1,2
Vitis palmata,Caddo,22017,NA,NA,NA,1,1,2
Vitis palmata,Harrison,48203,NA,1,NA,1,NA,2
Vitis palmata,Lafayette,05073,NA,3,NA,1,NA,4
Vitis palmata,Webster,22119,NA,NA,NA,1,1,2
Vitis palmata,Claiborne,22027,NA,NA,NA,1,1,2
Vitis palmata,Union,05139,NA,3,NA,1,1,5
Vitis palmata,Union,22111,NA,NA,NA,1,1,2
Vitis palmata,Morehouse,22067,NA,NA,NA,1,1,2
Vitis palmata,Ashley,05003,NA,12,NA,1,1,14
Vitis palmata,West Carroll,22123,NA,NA,NA,1,1,2
Vitis palmata,Hardeman,47069,NA,2,NA,1,1,4
Vitis palmata,Tishomingo,28141,NA,1,NA,1,1,3
Vitis palmata,Monroe,28095,NA,4,NA,1,NA,5
Vitis palmata,Pickens,01107,NA,1,NA,1,1,3
Vitis palmata,Noxubee,28103,NA,NA,NA,1,1,2
Vitis palmata,Lauderdale,28075,NA,2,NA,1,NA,3
Vitis palmata,Choctaw,01023,NA,3,NA,1,1,5
Vitis palmata,Washington,01129,2,1,NA,NA,NA,3
Vitis palmata,Jackson,12063,NA,4,NA,1,1,6
Vitis palmata,Covington,01039,NA,2,NA,1,NA,3
Vitis palmata,Polk,47139,NA,2,NA,1,NA,3
Vitis palmata,Lee,01081,NA,1,NA,NA,NA,1
Vitis palmata,Barbour,01005,NA,1,NA,NA,NA,1
Vitis palmata,Gadsden,12039,NA,32,NA,1,1,34
Vitis palmata,Greene,47059,NA,NA,NA,1,NA,1
Vitis palmata,Blount,47009,NA,2,NA,NA,NA,2
Vitis palmata,Harlan,21095,NA,1,NA,NA,NA,1
Vitis palmata,Gallatin,17059,NA,4,NA,1,1,6
Vitis palmata,Union,21225,NA,1,NA,1,1,3
Vitis palmata,Hardin,17069,NA,3,NA,1,1,5
Vitis palmata,Crittenden,21055,NA,1,NA,1,1,3
Vitis palmata,Livingston,21139,NA,1,NA,1,NA,2
Vitis palmata,Pope,17151,NA,2,NA,1,1,4
Vitis palmata,Massac,17127,NA,5,NA,1,1,7
Vitis palmata,McCracken,21145,NA,2,NA,1,1,4
Vitis palmata,Pulaski,17153,NA,11,NA,1,1,13
Vitis palmata,Cook,17031,NA,2,NA,NA,NA,2
Vitis palmata,Winnebago,17201,NA,NA,NA,1,NA,1
Vitis palmata,Henderson,21101,NA,2,NA,1,1,4
