taxon,NAME,fips,O,H,G,bonap,usda,sum
Vitis riparia,Okanogan,53047,NA,8,NA,1,NA,9
Vitis riparia,Bottineau,38009,NA,NA,NA,1,NA,1
Vitis riparia,Pembina,38067,NA,2,NA,1,1,4
Vitis riparia,Kittson,27069,NA,3,NA,1,1,5
Vitis riparia,Roseau,27135,NA,NA,NA,1,NA,1
Vitis riparia,Lake of the Woods,27077,NA,3,NA,1,1,5
Vitis riparia,Koochiching,27071,1,4,NA,1,1,7
Vitis riparia,Saint Louis,27137,8,2,NA,1,1,12
Vitis riparia,Lake,27075,2,1,NA,1,NA,4
Vitis riparia,Cook,27031,NA,1,NA,1,1,3
Vitis riparia,Alger,26003,1,NA,NA,NA,NA,1
Vitis riparia,Luce,26095,1,2,NA,1,NA,4
Vitis riparia,Chippewa,26033,1,1,NA,1,1,4
Vitis riparia,Presque Isle,26141,2,1,NA,1,1,5
Vitis riparia,Alpena,26007,2,1,NA,1,1,5
Vitis riparia,Alcona,26001,NA,1,NA,1,1,3
Vitis riparia,Iosco,26069,5,2,NA,1,1,9
Vitis riparia,Huron,26063,4,3,NA,1,1,9
Vitis riparia,Sanilac,26151,NA,2,NA,1,1,4
Vitis riparia,Saint Clair,26147,1,13,NA,1,1,16
Vitis riparia,Macomb,26099,7,1,NA,1,1,10
Vitis riparia,Wayne,26163,10,4,NA,1,1,16
Vitis riparia,Monroe,26115,NA,6,NA,1,1,8
Vitis riparia,Lucas,39095,6,NA,NA,1,1,8
Vitis riparia,Ottawa,39123,1,4,NA,1,1,7
Vitis riparia,Erie,39043,2,3,NA,1,1,7
Vitis riparia,Lorain,39093,6,3,NA,1,1,11
Vitis riparia,Cuyahoga,39035,13,5,NA,1,1,20
Vitis riparia,Lake,39085,5,5,NA,1,1,12
Vitis riparia,Ashtabula,39007,NA,5,NA,1,1,7
Vitis riparia,Erie,42049,13,22,NA,1,1,37
Vitis riparia,Chautauqua,36013,11,1,NA,1,1,14
Vitis riparia,Erie,36029,276,NA,NA,1,1,278
Vitis riparia,Niagara,36063,347,2,NA,1,1,351
Vitis riparia,Orleans,36073,13,4,NA,1,1,19
Vitis riparia,Monroe,36055,82,9,NA,1,1,93
Vitis riparia,Wayne,36117,14,NA,NA,NA,NA,14
Vitis riparia,Cayuga,36011,13,NA,NA,1,NA,14
Vitis riparia,Jefferson,36045,25,NA,NA,1,1,27
Vitis riparia,Saint Lawrence,36089,23,4,NA,1,1,29
Vitis riparia,Franklin,36033,1,NA,NA,1,1,3
Vitis riparia,Clinton,36019,14,1,NA,1,1,17
Vitis riparia,Grand Isle,50013,13,1,NA,1,1,16
Vitis riparia,Franklin,50011,2,NA,NA,1,1,4
Vitis riparia,Orleans,50019,1,1,NA,1,1,4
Vitis riparia,Essex,50009,NA,NA,NA,1,1,2
Vitis riparia,Coos,33007,NA,1,NA,1,1,3
Vitis riparia,Oxford,23017,NA,3,NA,1,1,5
Vitis riparia,Franklin,23007,NA,1,NA,1,1,3
Vitis riparia,Somerset,23025,1,1,NA,1,1,4
Vitis riparia,Aroostook,23003,NA,NA,NA,1,NA,1
Vitis riparia,Washington,23029,NA,NA,NA,1,NA,1
Vitis riparia,Hidalgo,35023,NA,NA,NA,1,NA,1
Vitis riparia,Brewster,48043,NA,10,NA,1,NA,11
Vitis riparia,Val Verde,48465,NA,2,NA,1,NA,3
Vitis riparia,Kenedy,48261,NA,1,NA,NA,NA,1
Vitis riparia,Galveston,48167,NA,2,NA,1,NA,3
Vitis riparia,Harris,48201,1,2,NA,NA,NA,3
Vitis riparia,Baldwin,01003,NA,1,NA,NA,NA,1
Vitis riparia,Virginia Beach,51810,NA,NA,NA,1,1,2
Vitis riparia,Isle of Wight,51093,NA,3,NA,1,1,5
Vitis riparia,Surry,51181,NA,1,NA,1,1,3
Vitis riparia,Prince George,51149,NA,NA,NA,1,NA,1
Vitis riparia,Chesterfield,51041,1,NA,NA,1,1,3
Vitis riparia,James City,51095,NA,NA,NA,1,1,2
Vitis riparia,King William,51101,NA,NA,NA,1,1,2
Vitis riparia,King and Queen,51097,NA,1,NA,1,1,3
Vitis riparia,Caroline,51033,NA,1,NA,1,1,3
Vitis riparia,King George,51099,NA,1,NA,1,1,3
Vitis riparia,Westmoreland,51193,NA,NA,NA,1,NA,1
Vitis riparia,Richmond,51159,1,NA,NA,1,NA,2
Vitis riparia,Prince William,51153,NA,NA,NA,1,1,2
Vitis riparia,Fairfax,51059,5,6,NA,1,1,13
Vitis riparia,Alexandria,51510,NA,NA,NA,1,NA,1
Vitis riparia,Arlington,51013,5,2,NA,1,1,9
Vitis riparia,Prince George's,24033,7,1,NA,1,NA,9
Vitis riparia,Calvert,24009,NA,NA,NA,1,NA,1
Vitis riparia,Anne Arundel,24003,NA,NA,NA,1,NA,1
Vitis riparia,Baltimore,24005,2,1,NA,1,NA,4
Vitis riparia,Cecil,24015,NA,1,NA,1,NA,2
Vitis riparia,Kent,24029,NA,NA,NA,1,NA,1
Vitis riparia,Queen Anne's,24035,NA,NA,NA,1,1,2
Vitis riparia,Worcester,24047,NA,NA,NA,1,NA,1
Vitis riparia,Delaware,42045,NA,2,NA,1,1,4
Vitis riparia,Philadelphia,42101,1,2,NA,1,1,5
Vitis riparia,Burlington,34005,NA,5,NA,1,1,7
Vitis riparia,Camden,34007,NA,1,NA,1,1,3
Vitis riparia,Salem,34033,NA,NA,NA,1,1,2
Vitis riparia,Monmouth,34025,1,1,NA,1,1,4
Vitis riparia,Middlesex,34023,3,1,NA,1,1,6
Vitis riparia,Union,34039,NA,1,NA,1,1,3
Vitis riparia,Essex,34013,2,NA,NA,1,1,4
Vitis riparia,Hudson,34017,NA,NA,NA,1,1,2
Vitis riparia,Bergen,34003,NA,NA,NA,1,1,2
Vitis riparia,Rockland,36087,3,3,NA,1,1,8
Vitis riparia,Westchester,36119,8,2,NA,1,1,12
Vitis riparia,Bronx,36005,6,3,NA,1,1,11
Vitis riparia,Fairfield,09001,NA,5,1,1,1,8
Vitis riparia,New Haven,09009,2,2,NA,1,1,6
Vitis riparia,Middlesex,09007,1,1,NA,1,1,4
Vitis riparia,New London,09011,NA,NA,NA,1,1,2
Vitis riparia,Providence,44007,NA,1,NA,NA,NA,1
Vitis riparia,Bristol,25005,NA,1,NA,1,1,3
Vitis riparia,Plymouth,25023,NA,NA,NA,1,1,2
Vitis riparia,Norfolk,25021,1,NA,NA,NA,NA,1
Vitis riparia,Suffolk,25025,1,7,NA,1,1,10
Vitis riparia,Essex,25009,4,6,NA,1,1,12
Vitis riparia,Rockingham,33015,NA,NA,NA,1,1,2
Vitis riparia,York,23031,NA,NA,NA,1,1,2
Vitis riparia,New York,36061,9,4,NA,1,1,15
Vitis riparia,Douglas,41019,NA,NA,NA,1,1,2
Vitis riparia,King,53033,NA,4,NA,1,NA,5
Vitis riparia,Waldo,23027,1,1,NA,1,1,4
Vitis riparia,Knox,23013,NA,NA,NA,1,1,2
Vitis riparia,Lincoln,23015,NA,NA,NA,1,1,2
Vitis riparia,Sagadahoc,23023,NA,NA,NA,1,NA,1
Vitis riparia,Cumberland,23005,2,NA,NA,1,1,4
Vitis riparia,Suffolk,36103,8,1,NA,1,1,11
Vitis riparia,Nassau,36059,5,NA,NA,1,1,7
Vitis riparia,Richmond,36085,3,1,NA,1,1,6
Vitis riparia,Queens,36081,10,3,NA,1,1,15
Vitis riparia,Kings,36047,1,1,NA,1,1,4
Vitis riparia,San Juan,53055,NA,NA,NA,1,1,2
Vitis riparia,Albany,56001,NA,1,NA,1,1,3
Vitis riparia,Larimer,08069,3,21,NA,1,NA,25
Vitis riparia,Weld,08123,NA,2,NA,1,NA,3
Vitis riparia,Baca,08009,1,1,NA,1,1,4
Vitis riparia,Las Animas,08071,NA,4,2,1,1,8
Vitis riparia,Colfax,35007,NA,1,NA,1,NA,2
Vitis riparia,Taos,35055,NA,1,NA,NA,NA,1
Vitis riparia,Rio Arriba,35039,NA,NA,5,NA,NA,5
Vitis riparia,Eddy,35015,NA,NA,NA,1,NA,1
Vitis riparia,Otero,35035,NA,1,NA,NA,NA,1
Vitis riparia,Williams,38105,NA,1,NA,1,1,3
Vitis riparia,Roosevelt,30085,NA,2,NA,NA,NA,2
Vitis riparia,McKenzie,38053,NA,NA,NA,1,NA,1
Vitis riparia,Carter,30011,NA,NA,NA,1,1,2
Vitis riparia,Harding,46063,NA,1,NA,1,1,3
Vitis riparia,Fall River,46047,1,8,NA,1,1,11
Vitis riparia,Niobrara,56027,NA,NA,NA,1,NA,1
Vitis riparia,Custer,46033,2,NA,NA,1,NA,3
Vitis riparia,Weston,56045,NA,NA,NA,1,1,2
Vitis riparia,Pennington,46103,1,4,NA,1,1,7
Vitis riparia,Lawrence,46081,NA,10,NA,1,1,12
Vitis riparia,Crook,56011,NA,8,NA,1,1,10
Vitis riparia,Sioux,38085,NA,NA,NA,1,1,2
Vitis riparia,Corson,46031,2,1,NA,1,1,5
