taxon,NAME,fips,O,H,G,bonap,usda,sum
Vitis rotundifolia var. munsoniana,Mobile,01097,NA,3,NA,NA,NA,3
Vitis rotundifolia var. munsoniana,Baldwin,01003,1,4,NA,NA,NA,5
Vitis rotundifolia var. munsoniana,Escambia,12033,NA,1,NA,NA,NA,1
Vitis rotundifolia var. munsoniana,Okaloosa,12091,NA,2,NA,NA,NA,2
Vitis rotundifolia var. munsoniana,Walton,12131,NA,2,NA,NA,NA,2
Vitis rotundifolia var. munsoniana,Franklin,12037,NA,13,NA,NA,NA,13
Vitis rotundifolia var. munsoniana,Wakulla,12129,1,1,NA,NA,NA,2
Vitis rotundifolia var. munsoniana,Taylor,12123,NA,2,NA,NA,NA,2
Vitis rotundifolia var. munsoniana,Levy,12075,NA,2,NA,NA,NA,2
Vitis rotundifolia var. munsoniana,Citrus,12017,1,3,NA,NA,NA,4
Vitis rotundifolia var. munsoniana,Pasco,12101,NA,2,NA,NA,NA,2
Vitis rotundifolia var. munsoniana,Pinellas,12103,NA,1,NA,NA,NA,1
Vitis rotundifolia var. munsoniana,Hillsborough,12057,NA,3,NA,NA,NA,3
Vitis rotundifolia var. munsoniana,Manatee,12081,2,8,NA,NA,NA,10
Vitis rotundifolia var. munsoniana,Sarasota,12115,1,5,NA,NA,NA,6
Vitis rotundifolia var. munsoniana,Charlotte,12015,2,1,NA,NA,NA,3
Vitis rotundifolia var. munsoniana,Lee,12071,14,12,NA,NA,NA,26
Vitis rotundifolia var. munsoniana,Collier,12021,13,12,NA,NA,NA,25
Vitis rotundifolia var. munsoniana,Monroe,12087,3,6,NA,NA,NA,9
Vitis rotundifolia var. munsoniana,Miami-Dade,12086,5,5,NA,NA,NA,10
Vitis rotundifolia var. munsoniana,Broward,12011,1,1,NA,NA,NA,2
Vitis rotundifolia var. munsoniana,Palm Beach,12099,2,3,NA,NA,NA,5
Vitis rotundifolia var. munsoniana,Martin,12085,NA,4,NA,NA,NA,4
Vitis rotundifolia var. munsoniana,Saint Lucie,12111,NA,3,NA,NA,NA,3
Vitis rotundifolia var. munsoniana,Indian River,12061,NA,1,NA,NA,NA,1
Vitis rotundifolia var. munsoniana,Brevard,12009,NA,4,NA,NA,NA,4
Vitis rotundifolia var. munsoniana,Volusia,12127,2,2,NA,NA,NA,4
Vitis rotundifolia var. munsoniana,Flagler,12035,1,NA,NA,NA,NA,1
Vitis rotundifolia var. munsoniana,Saint Johns,12109,2,NA,NA,NA,NA,2
Vitis rotundifolia var. munsoniana,Duval,12031,NA,6,NA,NA,NA,6
Vitis rotundifolia var. munsoniana,Nassau,12089,NA,3,NA,NA,NA,3
Vitis rotundifolia var. munsoniana,Camden,13039,NA,6,NA,NA,NA,6
Vitis rotundifolia var. munsoniana,Glynn,13127,NA,2,NA,NA,NA,2
Vitis rotundifolia var. munsoniana,McIntosh,13191,NA,8,NA,NA,NA,8
Vitis rotundifolia var. munsoniana,Liberty,13179,NA,3,NA,NA,NA,3
Vitis rotundifolia var. munsoniana,Bryan,13029,NA,1,NA,NA,NA,1
Vitis rotundifolia var. munsoniana,Chatham,13051,NA,5,NA,NA,NA,5
Vitis rotundifolia var. munsoniana,Marion,01093,NA,1,NA,NA,NA,1
Vitis rotundifolia var. munsoniana,Houston,01069,NA,2,NA,NA,NA,2
Vitis rotundifolia var. munsoniana,Jackson,12063,NA,2,NA,NA,NA,2
Vitis rotundifolia var. munsoniana,Geneva,01061,1,NA,NA,NA,NA,1
Vitis rotundifolia var. munsoniana,Escambia,01053,NA,1,NA,NA,NA,1
Vitis rotundifolia var. munsoniana,Fannin,13111,NA,1,NA,NA,NA,1
Vitis rotundifolia var. munsoniana,Murray,13213,NA,2,NA,NA,NA,2
Vitis rotundifolia var. munsoniana,Catoosa,13047,NA,1,NA,NA,NA,1
Vitis rotundifolia var. munsoniana,Walker,13295,NA,1,NA,NA,NA,1
Vitis rotundifolia var. munsoniana,Dade,13083,NA,2,NA,NA,NA,2
Vitis rotundifolia var. munsoniana,Muscogee,13215,NA,2,NA,NA,NA,2
Vitis rotundifolia var. munsoniana,Harris,13145,NA,2,NA,NA,NA,2
Vitis rotundifolia var. munsoniana,Troup,13285,NA,1,NA,NA,NA,1
Vitis rotundifolia var. munsoniana,Carroll,13045,NA,1,NA,NA,NA,1
Vitis rotundifolia var. munsoniana,Haralson,13143,NA,1,NA,NA,NA,1
Vitis rotundifolia var. munsoniana,Cherokee,01019,NA,1,NA,NA,NA,1
