taxon,NAME,fips,O,H,G,bonap,usda,sum
Vitis rotundifolia var. rotundifolia,Harris,48201,NA,2,NA,NA,NA,2
Vitis rotundifolia var. rotundifolia,Jackson,28059,NA,1,NA,NA,NA,1
Vitis rotundifolia var. rotundifolia,Mobile,01097,NA,2,NA,NA,NA,2
Vitis rotundifolia var. rotundifolia,Baldwin,01003,NA,2,NA,NA,NA,2
Vitis rotundifolia var. rotundifolia,Escambia,12033,NA,1,NA,NA,NA,1
Vitis rotundifolia var. rotundifolia,Okaloosa,12091,NA,1,NA,NA,NA,1
Vitis rotundifolia var. rotundifolia,Franklin,12037,NA,3,NA,NA,NA,3
Vitis rotundifolia var. rotundifolia,Wakulla,12129,1,1,NA,NA,NA,2
Vitis rotundifolia var. rotundifolia,Taylor,12123,NA,2,NA,NA,NA,2
Vitis rotundifolia var. rotundifolia,Levy,12075,NA,1,NA,NA,NA,1
Vitis rotundifolia var. rotundifolia,Pinellas,12103,NA,1,NA,NA,NA,1
Vitis rotundifolia var. rotundifolia,Miami-Dade,12086,1,NA,NA,NA,NA,1
Vitis rotundifolia var. rotundifolia,Indian River,12061,NA,1,NA,NA,NA,1
Vitis rotundifolia var. rotundifolia,Volusia,12127,1,NA,NA,NA,NA,1
Vitis rotundifolia var. rotundifolia,Duval,12031,NA,2,NA,NA,NA,2
Vitis rotundifolia var. rotundifolia,Camden,13039,NA,1,NA,NA,NA,1
Vitis rotundifolia var. rotundifolia,Glynn,13127,NA,1,NA,NA,NA,1
Vitis rotundifolia var. rotundifolia,McIntosh,13191,NA,7,NA,NA,NA,7
Vitis rotundifolia var. rotundifolia,Liberty,13179,NA,3,NA,NA,NA,3
Vitis rotundifolia var. rotundifolia,Bryan,13029,NA,1,NA,NA,NA,1
Vitis rotundifolia var. rotundifolia,Chatham,13051,NA,5,NA,NA,NA,5
Vitis rotundifolia var. rotundifolia,Beaufort,45013,NA,5,NA,NA,NA,5
Vitis rotundifolia var. rotundifolia,Charleston,45019,NA,3,NA,NA,NA,3
Vitis rotundifolia var. rotundifolia,Berkeley,45015,NA,2,NA,NA,NA,2
Vitis rotundifolia var. rotundifolia,Georgetown,45043,NA,1,NA,NA,NA,1
Vitis rotundifolia var. rotundifolia,Horry,45051,NA,1,NA,NA,NA,1
Vitis rotundifolia var. rotundifolia,Brunswick,37019,1,1,NA,NA,NA,2
Vitis rotundifolia var. rotundifolia,New Hanover,37129,NA,2,NA,NA,NA,2
Vitis rotundifolia var. rotundifolia,Dare,37055,NA,4,NA,NA,NA,4
Vitis rotundifolia var. rotundifolia,Gates,37073,NA,3,NA,NA,NA,3
Vitis rotundifolia var. rotundifolia,Isle of Wight,51093,NA,1,NA,NA,NA,1
Vitis rotundifolia var. rotundifolia,Accomack,51001,NA,1,NA,NA,NA,1
Vitis rotundifolia var. rotundifolia,Northampton,51131,NA,1,NA,NA,NA,1
Vitis rotundifolia var. rotundifolia,McCurtain,40089,NA,1,NA,NA,NA,1
Vitis rotundifolia var. rotundifolia,Warren,28149,NA,1,NA,NA,NA,1
Vitis rotundifolia var. rotundifolia,Adams,28001,NA,2,NA,NA,NA,2
Vitis rotundifolia var. rotundifolia,Pike,28113,NA,1,NA,NA,NA,1
Vitis rotundifolia var. rotundifolia,Washington,28151,NA,2,NA,NA,NA,2
Vitis rotundifolia var. rotundifolia,Miller,05091,NA,1,NA,NA,NA,1
Vitis rotundifolia var. rotundifolia,Le Flore,40079,NA,4,NA,NA,NA,4
Vitis rotundifolia var. rotundifolia,Scott,05127,NA,1,NA,NA,NA,1
Vitis rotundifolia var. rotundifolia,Dunklin,29069,NA,6,NA,NA,NA,6
Vitis rotundifolia var. rotundifolia,Greene,05055,NA,1,NA,NA,NA,1
Vitis rotundifolia var. rotundifolia,Craighead,05031,1,NA,NA,NA,NA,1
Vitis rotundifolia var. rotundifolia,Trigg,21221,NA,1,NA,NA,NA,1
