taxon,NAME,fips,O,H,G,bonap,usda,sum
Vitis rotundifolia,Aransas,48007,2,NA,NA,NA,NA,2
Vitis rotundifolia,Matagorda,48321,NA,NA,NA,NA,1,1
Vitis rotundifolia,Galveston,48167,NA,9,NA,NA,1,10
Vitis rotundifolia,Harris,48201,199,20,NA,NA,1,220
Vitis rotundifolia,Chambers,48071,5,1,NA,NA,NA,6
Vitis rotundifolia,Jefferson,48245,3,4,NA,NA,NA,7
Vitis rotundifolia,Orange,48361,10,5,NA,NA,NA,15
Vitis rotundifolia,Cameron,22023,NA,NA,NA,NA,1,1
Vitis rotundifolia,Vermilion,22113,NA,NA,NA,NA,1,1
Vitis rotundifolia,Iberia,22045,NA,NA,NA,NA,1,1
Vitis rotundifolia,Saint Mary,22101,NA,NA,NA,NA,1,1
Vitis rotundifolia,Terrebonne,22109,NA,NA,NA,NA,1,1
Vitis rotundifolia,Orleans,22071,NA,NA,NA,NA,1,1
Vitis rotundifolia,Saint Charles,22089,NA,NA,NA,NA,1,1
Vitis rotundifolia,Tangipahoa,22105,NA,NA,NA,NA,1,1
Vitis rotundifolia,Saint Tammany,22103,NA,NA,NA,NA,1,1
Vitis rotundifolia,Hancock,28045,5,10,NA,NA,1,16
Vitis rotundifolia,Harrison,28047,12,6,NA,NA,1,19
Vitis rotundifolia,Jackson,28059,81,11,NA,NA,1,93
Vitis rotundifolia,Mobile,01097,58,17,NA,NA,1,76
Vitis rotundifolia,Baldwin,01003,115,7,NA,NA,1,123
Vitis rotundifolia,Escambia,12033,149,13,NA,NA,1,163
Vitis rotundifolia,Santa Rosa,12113,58,5,NA,NA,NA,63
Vitis rotundifolia,Okaloosa,12091,39,13,NA,NA,1,53
Vitis rotundifolia,Walton,12131,36,5,NA,NA,1,42
Vitis rotundifolia,Bay,12005,33,10,NA,NA,NA,43
Vitis rotundifolia,Gulf,12045,6,3,NA,NA,1,10
Vitis rotundifolia,Franklin,12037,50,40,NA,NA,1,91
Vitis rotundifolia,Wakulla,12129,20,12,NA,NA,1,33
Vitis rotundifolia,Jefferson,12065,12,10,NA,NA,1,23
Vitis rotundifolia,Taylor,12123,4,5,NA,NA,1,10
Vitis rotundifolia,Dixie,12029,5,2,NA,NA,1,8
Vitis rotundifolia,Levy,12075,15,9,NA,NA,1,25
Vitis rotundifolia,Citrus,12017,55,21,NA,NA,1,77
Vitis rotundifolia,Hernando,12053,32,6,NA,NA,1,39
