taxon,NAME,fips,O,H,G,bonap,usda,sum
Vitis rupestris,Erie,42049,NA,1,NA,NA,NA,1
Vitis rupestris,Val Verde,48465,NA,9,NA,1,1,11
Vitis rupestris,Stafford,51179,NA,NA,NA,1,1,2
Vitis rupestris,Prince William,51153,NA,NA,NA,1,1,2
Vitis rupestris,Fairfax,51059,NA,3,NA,1,NA,4
Vitis rupestris,Arlington,51013,NA,NA,NA,1,1,2
Vitis rupestris,Prince George's,24033,NA,3,NA,1,1,5
Vitis rupestris,Baltimore,24005,NA,NA,NA,1,1,2
Vitis rupestris,Roger Mills,40129,NA,NA,NA,1,NA,1
Vitis rupestris,Ellis,40045,NA,NA,NA,1,NA,1
Vitis rupestris,McCurtain,40089,NA,NA,NA,1,NA,1
Vitis rupestris,Grayson,48181,NA,2,NA,1,NA,3
Vitis rupestris,Ottawa,40115,NA,NA,NA,1,NA,1
Vitis rupestris,Lincoln,29113,NA,1,NA,1,NA,2
Vitis rupestris,Saint Louis,29189,NA,1,NA,1,1,3
Vitis rupestris,Jefferson,29099,NA,2,NA,1,1,4
Vitis rupestris,Perry,29157,NA,NA,NA,1,1,2
Vitis rupestris,Phillips,05107,NA,NA,NA,NA,1,1
Vitis rupestris,Buchanan,29021,NA,1,NA,1,NA,2
Vitis rupestris,Cass,29037,NA,1,NA,1,NA,2
Vitis rupestris,Barton,29011,NA,1,NA,1,NA,2
Vitis rupestris,Jasper,29097,NA,3,NA,1,1,5
Vitis rupestris,Newton,29145,NA,2,NA,1,1,4
Vitis rupestris,McDonald,29119,NA,9,NA,1,1,11
Vitis rupestris,Benton,05007,1,6,NA,1,1,9
Vitis rupestris,Sequoyah,40135,NA,NA,NA,1,NA,1
Vitis rupestris,Le Flore,40079,NA,6,NA,1,NA,7
Vitis rupestris,Scott,05127,NA,3,NA,1,NA,4
Vitis rupestris,Polk,05113,NA,NA,NA,1,1,2
Vitis rupestris,Barry,29009,NA,3,NA,1,1,5
Vitis rupestris,Stone,29209,NA,4,NA,1,1,6
