taxon,NAME,fips,O,H,G,bonap,usda,sum
Vitis shuttleworthii,Taylor,12123,NA,1,NA,NA,NA,1
Vitis shuttleworthii,Citrus,12017,6,7,NA,1,1,15
Vitis shuttleworthii,Hernando,12053,3,1,NA,1,1,6
Vitis shuttleworthii,Pasco,12101,10,8,NA,1,1,20
Vitis shuttleworthii,Pinellas,12103,1,3,NA,1,1,6
Vitis shuttleworthii,Hillsborough,12057,6,21,NA,1,1,29
Vitis shuttleworthii,Manatee,12081,6,16,NA,1,1,24
Vitis shuttleworthii,Sarasota,12115,31,23,NA,1,1,56
Vitis shuttleworthii,Charlotte,12015,8,4,NA,1,NA,13
Vitis shuttleworthii,Lee,12071,11,5,NA,1,1,18
Vitis shuttleworthii,Collier,12021,16,4,NA,1,1,22
Vitis shuttleworthii,Monroe,12087,NA,2,NA,NA,NA,2
Vitis shuttleworthii,Miami-Dade,12086,6,11,NA,1,1,19
Vitis shuttleworthii,Broward,12011,6,8,NA,1,1,16
Vitis shuttleworthii,Palm Beach,12099,26,12,NA,1,1,40
Vitis shuttleworthii,Martin,12085,11,6,NA,1,1,19
Vitis shuttleworthii,Saint Lucie,12111,2,8,NA,1,1,12
Vitis shuttleworthii,Indian River,12061,NA,5,NA,1,1,7
Vitis shuttleworthii,Brevard,12009,9,23,NA,1,1,34
Vitis shuttleworthii,Volusia,12127,14,11,NA,1,1,27
Vitis shuttleworthii,Flagler,12035,NA,2,NA,1,1,4
Vitis shuttleworthii,Marion,12083,2,1,NA,1,1,5
Vitis shuttleworthii,DeSoto,12027,2,7,NA,1,1,11
Vitis shuttleworthii,Hardee,12049,2,11,NA,1,1,15
Vitis shuttleworthii,Highlands,12055,3,14,NA,1,1,19
Vitis shuttleworthii,Glades,12043,1,4,NA,1,1,7
Vitis shuttleworthii,Hendry,12051,7,5,NA,1,NA,13
Vitis shuttleworthii,Okeechobee,12093,2,4,NA,1,1,8
Vitis shuttleworthii,Polk,12105,10,13,NA,1,1,25
Vitis shuttleworthii,Sumter,12119,4,1,NA,1,1,7
Vitis shuttleworthii,Lake,12069,2,NA,NA,NA,NA,2
Vitis shuttleworthii,Seminole,12117,2,4,NA,1,1,8
Vitis shuttleworthii,Orange,12095,4,3,NA,1,1,9
Vitis shuttleworthii,Osceola,12097,5,16,NA,1,1,23
