taxon,NAME,fips,O,H,G,bonap,usda,sum
Vitis simpsonii,Orange,48361,NA,1,NA,NA,NA,1
Vitis simpsonii,Mobile,01097,NA,1,NA,NA,NA,1
Vitis simpsonii,Baldwin,01003,NA,2,NA,NA,NA,2
Vitis simpsonii,Okaloosa,12091,NA,2,NA,NA,NA,2
Vitis simpsonii,Walton,12131,NA,1,NA,NA,NA,1
Vitis simpsonii,Gulf,12045,1,2,NA,NA,NA,3
Vitis simpsonii,Franklin,12037,3,NA,NA,NA,NA,3
Vitis simpsonii,Wakulla,12129,NA,16,NA,NA,NA,16
Vitis simpsonii,Jefferson,12065,1,3,NA,NA,NA,4
Vitis simpsonii,Taylor,12123,NA,15,NA,NA,NA,15
Vitis simpsonii,Dixie,12029,1,8,NA,NA,NA,9
Vitis simpsonii,Levy,12075,1,15,NA,NA,NA,16
Vitis simpsonii,Citrus,12017,2,5,NA,NA,NA,7
Vitis simpsonii,Hernando,12053,2,4,NA,NA,NA,6
Vitis simpsonii,Pasco,12101,NA,3,NA,NA,NA,3
Vitis simpsonii,Pinellas,12103,1,2,NA,NA,NA,3
Vitis simpsonii,Hillsborough,12057,3,8,NA,NA,NA,11
Vitis simpsonii,Manatee,12081,1,11,NA,NA,NA,12
Vitis simpsonii,Sarasota,12115,7,5,NA,NA,NA,12
Vitis simpsonii,Charlotte,12015,2,NA,NA,NA,NA,2
Vitis simpsonii,Lee,12071,5,4,NA,NA,NA,9
Vitis simpsonii,Collier,12021,16,14,NA,NA,NA,30
Vitis simpsonii,Monroe,12087,3,3,NA,NA,NA,6
Vitis simpsonii,Miami-Dade,12086,11,16,NA,NA,NA,27
Vitis simpsonii,Broward,12011,5,2,NA,NA,NA,7
Vitis simpsonii,Palm Beach,12099,NA,3,NA,NA,NA,3
Vitis simpsonii,Martin,12085,8,NA,NA,NA,NA,8
Vitis simpsonii,Saint Lucie,12111,NA,1,NA,NA,NA,1
Vitis simpsonii,Indian River,12061,NA,3,NA,NA,NA,3
Vitis simpsonii,Brevard,12009,NA,6,NA,NA,NA,6
Vitis simpsonii,Volusia,12127,1,5,NA,NA,NA,6
Vitis simpsonii,Flagler,12035,2,NA,NA,NA,NA,2
Vitis simpsonii,Saint Johns,12109,1,NA,NA,NA,NA,1
Vitis simpsonii,Duval,12031,NA,5,NA,NA,NA,5
Vitis simpsonii,Nassau,12089,NA,6,NA,NA,NA,6
Vitis simpsonii,Camden,13039,NA,2,NA,NA,NA,2
Vitis simpsonii,McIntosh,13191,NA,2,NA,NA,NA,2
Vitis simpsonii,Liberty,13179,NA,4,NA,NA,NA,4
Vitis simpsonii,Bryan,13029,NA,2,NA,NA,NA,2
Vitis simpsonii,Chatham,13051,NA,7,NA,NA,NA,7
Vitis simpsonii,Jasper,45053,NA,2,NA,NA,NA,2
Vitis simpsonii,Beaufort,45013,NA,14,NA,NA,NA,14
Vitis simpsonii,Colleton,45029,NA,3,NA,NA,NA,3
Vitis simpsonii,Charleston,45019,NA,5,NA,NA,NA,5
Vitis simpsonii,Berkeley,45015,NA,9,NA,NA,NA,9
Vitis simpsonii,Georgetown,45043,NA,3,NA,NA,NA,3
Vitis simpsonii,Horry,45051,NA,1,NA,NA,NA,1
Vitis simpsonii,Brunswick,37019,NA,3,NA,NA,NA,3
Vitis simpsonii,New Hanover,37129,NA,3,NA,NA,NA,3
Vitis simpsonii,Beaufort,37013,NA,2,NA,NA,NA,2
Vitis simpsonii,Hyde,37095,NA,1,NA,NA,NA,1
Vitis simpsonii,Dare,37055,NA,12,NA,NA,NA,12
Vitis simpsonii,Tyrrell,37177,NA,2,NA,NA,NA,2
Vitis simpsonii,Washington,37187,NA,1,NA,NA,NA,1
Vitis simpsonii,Chowan,37041,NA,1,NA,NA,NA,1
Vitis simpsonii,Currituck,37053,NA,2,NA,NA,NA,2
Vitis simpsonii,Surry,51181,NA,2,NA,NA,NA,2
Vitis simpsonii,Prince George,51149,NA,1,NA,NA,NA,1
Vitis simpsonii,New Kent,51127,NA,1,NA,NA,NA,1
Vitis simpsonii,Caroline,51033,NA,1,NA,NA,NA,1
Vitis simpsonii,Stafford,51179,NA,1,NA,NA,NA,1
Vitis simpsonii,Prince William,51153,NA,2,NA,NA,NA,2
Vitis simpsonii,Prince George's,24033,NA,2,NA,NA,NA,2
Vitis simpsonii,Saint Mary's,24037,NA,1,NA,NA,NA,1
Vitis simpsonii,Anne Arundel,24003,NA,2,NA,NA,NA,2
Vitis simpsonii,Baltimore,24005,NA,1,NA,NA,NA,1
Vitis simpsonii,Dorchester,24019,NA,1,NA,NA,NA,1
Vitis simpsonii,Wicomico,24045,NA,1,NA,NA,NA,1
Vitis simpsonii,Warren,28149,NA,1,NA,NA,NA,1
Vitis simpsonii,Amite,28005,NA,1,NA,NA,NA,1
Vitis simpsonii,Marion,05089,NA,1,NA,NA,NA,1
Vitis simpsonii,Marshall,28093,NA,1,NA,NA,NA,1
Vitis simpsonii,Jackson,12063,2,3,NA,NA,NA,5
Vitis simpsonii,Geneva,01061,NA,1,NA,NA,NA,1
Vitis simpsonii,Covington,01039,NA,1,NA,NA,NA,1
Vitis simpsonii,Escambia,01053,NA,1,NA,NA,NA,1
Vitis simpsonii,Floyd,13115,NA,1,NA,NA,NA,1
Vitis simpsonii,Stewart,13259,NA,1,NA,NA,NA,1
Vitis simpsonii,Barbour,01005,NA,2,NA,NA,NA,2
Vitis simpsonii,Early,13099,NA,1,NA,NA,NA,1
Vitis simpsonii,Charlton,13049,NA,1,NA,NA,NA,1
Vitis simpsonii,Gadsden,12039,2,14,NA,NA,NA,16
Vitis simpsonii,Decatur,13087,NA,7,NA,NA,NA,7
Vitis simpsonii,Leon,12073,NA,1,NA,NA,NA,1
Vitis simpsonii,Hamilton,12047,NA,1,NA,NA,NA,1
Vitis simpsonii,Lowndes,13185,NA,1,NA,NA,NA,1
Vitis simpsonii,Columbia,12023,NA,2,NA,NA,NA,2
Vitis simpsonii,Anderson,45007,NA,1,NA,NA,NA,1
Vitis simpsonii,Abbeville,45001,NA,1,NA,NA,NA,1
Vitis simpsonii,Barnwell,45011,NA,3,NA,NA,NA,3
Vitis simpsonii,Allendale,45005,NA,1,NA,NA,NA,1
Vitis simpsonii,Effingham,13103,NA,1,NA,NA,NA,1
Vitis simpsonii,Mecklenburg,37119,NA,1,NA,NA,NA,1
Vitis simpsonii,Anson,37007,NA,1,NA,NA,NA,1
Vitis simpsonii,Marlboro,45069,NA,1,NA,NA,NA,1
Vitis simpsonii,Columbus,37047,NA,1,NA,NA,NA,1
Vitis simpsonii,Greensville,51081,NA,1,NA,NA,NA,1
Vitis simpsonii,Lowndes,01085,NA,3,NA,NA,NA,3
Vitis simpsonii,Bullock,01011,NA,1,NA,NA,NA,1
Vitis simpsonii,Perry,01105,NA,2,NA,NA,NA,2
Vitis simpsonii,Wilcox,01131,NA,1,NA,NA,NA,1
Vitis simpsonii,Marengo,01091,NA,1,NA,NA,NA,1
Vitis simpsonii,Coffee,01031,NA,1,NA,NA,NA,1
Vitis simpsonii,Alachua,12001,12,9,NA,NA,NA,21
Vitis simpsonii,Putnam,12107,1,2,NA,NA,NA,3
Vitis simpsonii,Marion,12083,4,7,NA,NA,NA,11
Vitis simpsonii,Gilchrist,12041,NA,2,NA,NA,NA,2
Vitis simpsonii,Clay,12019,NA,5,NA,NA,NA,5
Vitis simpsonii,Suwannee,12121,1,6,NA,NA,NA,7
Vitis simpsonii,DeSoto,12027,2,3,NA,NA,NA,5
Vitis simpsonii,Hardee,12049,NA,1,NA,NA,NA,1
Vitis simpsonii,Highlands,12055,2,2,NA,NA,NA,4
Vitis simpsonii,Liberty,12077,1,8,NA,NA,NA,9
Vitis simpsonii,Lafayette,12067,NA,2,NA,NA,NA,2
Vitis simpsonii,Glades,12043,NA,1,NA,NA,NA,1
Vitis simpsonii,Hendry,12051,3,1,NA,NA,NA,4
Vitis simpsonii,Okeechobee,12093,NA,2,NA,NA,NA,2
Vitis simpsonii,Polk,12105,NA,8,NA,NA,NA,8
Vitis simpsonii,Sumter,12119,NA,7,NA,NA,NA,7
Vitis simpsonii,Washington,12133,NA,2,NA,NA,NA,2
Vitis simpsonii,Calhoun,12013,NA,9,NA,NA,NA,9
Vitis simpsonii,Lake,12069,1,1,NA,NA,NA,2
Vitis simpsonii,Seminole,12117,NA,3,NA,NA,NA,3
Vitis simpsonii,Orange,12095,5,NA,NA,NA,NA,5
Vitis simpsonii,Osceola,12097,NA,1,NA,NA,NA,1
Vitis simpsonii,Tattnall,13267,NA,1,NA,NA,NA,1
Vitis simpsonii,Jeff Davis,13161,NA,1,NA,NA,NA,1
Vitis simpsonii,Coffee,13069,NA,1,NA,NA,NA,1
Vitis simpsonii,Baker,13007,NA,2,NA,NA,NA,2
Vitis simpsonii,Dougherty,13095,NA,1,NA,NA,NA,1
Vitis simpsonii,Baldwin,13009,NA,1,NA,NA,NA,1
Vitis simpsonii,Washington,13303,NA,2,NA,NA,NA,2
Vitis simpsonii,Wilkinson,13319,NA,3,NA,NA,NA,3
Vitis simpsonii,Walton,13297,NA,1,NA,NA,NA,1
Vitis simpsonii,Ben Hill,13017,NA,1,NA,NA,NA,1
Vitis simpsonii,Telfair,13271,NA,1,NA,NA,NA,1
Vitis simpsonii,Bibb,13021,NA,2,NA,NA,NA,2
Vitis simpsonii,Twiggs,13289,NA,2,NA,NA,NA,2
Vitis simpsonii,Houston,13153,NA,6,NA,NA,NA,6
Vitis simpsonii,Dodge,13091,NA,2,NA,NA,NA,2
Vitis simpsonii,Laurens,13175,NA,1,NA,NA,NA,1
Vitis simpsonii,Clarke,13059,NA,1,NA,NA,NA,1
Vitis simpsonii,Randolph,13243,NA,2,NA,NA,NA,2
Vitis simpsonii,DeKalb,13089,NA,1,NA,NA,NA,1
Vitis simpsonii,Worth,13321,NA,2,NA,NA,NA,2
Vitis simpsonii,Peach,13225,NA,1,NA,NA,NA,1
Vitis simpsonii,Crisp,13081,NA,3,NA,NA,NA,3
Vitis simpsonii,Lee,13177,NA,1,NA,NA,NA,1
Vitis simpsonii,Sumter,13261,NA,1,NA,NA,NA,1
Vitis simpsonii,Macon,13193,NA,4,NA,NA,NA,4
Vitis simpsonii,Terrell,13273,NA,1,NA,NA,NA,1
Vitis simpsonii,Johnson,13167,NA,2,NA,NA,NA,2
Vitis simpsonii,Warren,13301,NA,1,NA,NA,NA,1
Vitis simpsonii,Long,13183,NA,2,NA,NA,NA,2
Vitis simpsonii,Leake,28079,NA,2,NA,NA,NA,2
Vitis simpsonii,Oktibbeha,28105,NA,1,NA,NA,NA,1
Vitis simpsonii,Simpson,28127,NA,1,NA,NA,NA,1
Vitis simpsonii,Forrest,28035,NA,1,NA,NA,NA,1
Vitis simpsonii,Perry,28111,NA,1,NA,NA,NA,1
Vitis simpsonii,Texas,29215,NA,1,NA,NA,NA,1
Vitis simpsonii,Orange,37135,NA,3,NA,NA,NA,3
Vitis simpsonii,Chatham,37037,NA,1,NA,NA,NA,1
Vitis simpsonii,Randolph,37151,NA,3,NA,NA,NA,3
Vitis simpsonii,Pitt,37147,NA,2,NA,NA,NA,2
Vitis simpsonii,Martin,37117,NA,3,NA,NA,NA,3
Vitis simpsonii,Halifax,37083,NA,1,NA,NA,NA,1
Vitis simpsonii,Durham,37063,NA,1,NA,NA,NA,1
Vitis simpsonii,Wake,37183,NA,6,NA,NA,NA,6
Vitis simpsonii,Duplin,37061,NA,3,NA,NA,NA,3
Vitis simpsonii,Wayne,37191,NA,1,NA,NA,NA,1
Vitis simpsonii,Wilson,37195,NA,3,NA,NA,NA,3
Vitis simpsonii,Nash,37127,NA,1,NA,NA,NA,1
Vitis simpsonii,Greene,37079,NA,1,NA,NA,NA,1
Vitis simpsonii,Johnston,37101,NA,1,NA,NA,NA,1
Vitis simpsonii,Bamberg,45009,NA,1,NA,NA,NA,1
Vitis simpsonii,Darlington,45031,NA,2,NA,NA,NA,2
Vitis simpsonii,Clarendon,45027,NA,1,NA,NA,NA,1
Vitis simpsonii,Williamsburg,45089,NA,3,NA,NA,NA,3
Vitis simpsonii,Sumter,45085,NA,1,NA,NA,NA,1
Vitis simpsonii,Florence,45041,NA,2,NA,NA,NA,2
Vitis simpsonii,Marion,45067,NA,1,NA,NA,NA,1
Vitis simpsonii,Dorchester,45035,NA,7,NA,NA,NA,7
Vitis simpsonii,Richland,45079,NA,3,NA,NA,NA,3
Vitis simpsonii,Grimes,48185,NA,1,NA,NA,NA,1
Vitis simpsonii,Crosby,48107,NA,1,NA,NA,NA,1
Vitis simpsonii,Amelia,51007,NA,1,NA,NA,NA,1
Vitis simpsonii,Dinwiddie,51053,NA,1,NA,NA,NA,1
Vitis simpsonii,Prince Edward,51147,NA,1,NA,NA,NA,1
Vitis simpsonii,Henrico,51087,NA,1,NA,NA,NA,1
Vitis simpsonii,Fauquier,51061,NA,2,NA,NA,NA,2
Vitis simpsonii,Orange,51137,NA,1,NA,NA,NA,1
Vitis simpsonii,Goochland,51075,1,NA,NA,NA,NA,1
Vitis simpsonii,Sussex,51183,NA,5,NA,NA,NA,5
Vitis simpsonii,Louisa,51109,NA,1,NA,NA,NA,1
