taxon,NAME,fips,O,H,G,bonap,usda,sum
Vitis vulpina,Saint Clair,26147,1,NA,NA,1,NA,2
Vitis vulpina,Wayne,26163,2,NA,NA,NA,NA,2
Vitis vulpina,Monroe,26115,NA,4,NA,1,NA,5
Vitis vulpina,Lucas,39095,NA,2,NA,1,NA,3
Vitis vulpina,Erie,39043,NA,2,NA,1,1,4
Vitis vulpina,Lorain,39093,1,NA,NA,1,1,3
Vitis vulpina,Cuyahoga,39035,1,NA,NA,1,NA,2
Vitis vulpina,Lake,39085,NA,NA,NA,1,NA,1
Vitis vulpina,Erie,42049,1,NA,NA,1,1,3
Vitis vulpina,Orleans,36073,2,NA,NA,NA,NA,2
Vitis vulpina,Monroe,36055,1,1,NA,NA,NA,2
Vitis vulpina,Cayuga,36011,NA,1,NA,NA,NA,1
Vitis vulpina,Jefferson,36045,NA,1,NA,NA,NA,1
Vitis vulpina,Saint Lawrence,36089,NA,1,NA,NA,NA,1
Vitis vulpina,Franklin,36033,2,NA,NA,NA,NA,2
Vitis vulpina,Jeff Davis,48243,NA,2,NA,NA,NA,2
Vitis vulpina,Brewster,48043,NA,6,NA,1,NA,7
Vitis vulpina,Val Verde,48465,NA,2,NA,1,NA,3
Vitis vulpina,Harris,48201,2,NA,NA,1,NA,3
Vitis vulpina,Saint Mary,22101,NA,NA,NA,1,1,2
Vitis vulpina,Orleans,22071,NA,NA,NA,1,1,2
Vitis vulpina,Saint Charles,22089,NA,NA,NA,1,1,2
Vitis vulpina,Tangipahoa,22105,NA,NA,NA,1,1,2
Vitis vulpina,Saint Tammany,22103,NA,NA,NA,1,1,2
Vitis vulpina,Mobile,01097,NA,4,NA,1,1,6
Vitis vulpina,Baldwin,01003,NA,4,NA,1,NA,5
Vitis vulpina,Escambia,12033,NA,1,NA,1,1,3
Vitis vulpina,Okaloosa,12091,NA,NA,NA,1,NA,1
Vitis vulpina,Gulf,12045,1,1,NA,NA,NA,2
Vitis vulpina,Franklin,12037,12,4,NA,1,1,18
Vitis vulpina,Wakulla,12129,NA,13,NA,1,1,15
Vitis vulpina,Jefferson,12065,NA,5,NA,1,NA,6
Vitis vulpina,Taylor,12123,NA,5,NA,1,1,7
Vitis vulpina,Dixie,12029,NA,3,NA,1,1,5
Vitis vulpina,Levy,12075,NA,6,NA,1,1,8
Vitis vulpina,Citrus,12017,NA,1,NA,1,1,3
Vitis vulpina,Hernando,12053,NA,5,NA,1,1,7
Vitis vulpina,Manatee,12081,NA,5,NA,1,1,7
Vitis vulpina,Collier,12021,NA,1,NA,NA,NA,1
Vitis vulpina,Volusia,12127,NA,1,NA,NA,NA,1
Vitis vulpina,Flagler,12035,1,1,NA,1,1,4
Vitis vulpina,Saint Johns,12109,1,NA,NA,NA,NA,1
Vitis vulpina,Duval,12031,NA,6,NA,NA,NA,6
Vitis vulpina,Nassau,12089,NA,2,NA,NA,NA,2
Vitis vulpina,Camden,13039,NA,1,NA,1,NA,2
Vitis vulpina,McIntosh,13191,1,18,NA,1,1,21
Vitis vulpina,Liberty,13179,NA,2,NA,1,1,4
Vitis vulpina,Chatham,13051,3,NA,NA,1,1,5
Vitis vulpina,Jasper,45053,NA,1,NA,1,NA,2
Vitis vulpina,Beaufort,45013,NA,12,NA,1,NA,13
Vitis vulpina,Colleton,45029,NA,NA,NA,1,NA,1
Vitis vulpina,Charleston,45019,1,9,NA,1,1,12
Vitis vulpina,Berkeley,45015,1,4,NA,1,NA,6
Vitis vulpina,Georgetown,45043,NA,6,NA,1,NA,7
Vitis vulpina,Horry,45051,1,2,NA,1,NA,4
Vitis vulpina,Brunswick,37019,NA,2,NA,1,NA,3
Vitis vulpina,New Hanover,37129,NA,5,NA,1,NA,6
Vitis vulpina,Pender,37141,NA,11,NA,1,NA,12
Vitis vulpina,Onslow,37133,NA,2,NA,1,NA,3
Vitis vulpina,Carteret,37031,NA,4,NA,1,NA,5
Vitis vulpina,Beaufort,37013,NA,NA,NA,1,NA,1
Vitis vulpina,Hyde,37095,NA,NA,NA,1,NA,1
Vitis vulpina,Dare,37055,NA,NA,NA,1,NA,1
Vitis vulpina,Tyrrell,37177,NA,NA,NA,1,NA,1
Vitis vulpina,Washington,37187,NA,1,NA,1,NA,2
Vitis vulpina,Bertie,37015,NA,NA,NA,1,NA,1
Vitis vulpina,Hertford,37091,NA,1,NA,1,NA,2
Vitis vulpina,Chowan,37041,NA,3,NA,1,NA,4
Vitis vulpina,Perquimans,37143,NA,1,NA,1,NA,2
Vitis vulpina,Currituck,37053,NA,1,NA,1,NA,2
Vitis vulpina,Virginia Beach,51810,NA,NA,NA,1,1,2
Vitis vulpina,Suffolk,51800,NA,NA,NA,1,1,2
Vitis vulpina,Isle of Wight,51093,NA,4,NA,1,1,6
Vitis vulpina,Surry,51181,NA,4,NA,1,1,6
Vitis vulpina,Prince George,51149,NA,3,NA,1,1,5
Vitis vulpina,Chesterfield,51041,NA,2,NA,1,1,4
Vitis vulpina,Charles City,51036,NA,NA,NA,1,1,2
Vitis vulpina,James City,51095,NA,7,NA,1,1,9
