taxon,NAME,fips,O,H,G,bonap,usda,sum
Vitis x novae-angliae,Cayuga,36011,NA,3,NA,NA,NA,3
Vitis x novae-angliae,Franklin,23007,NA,1,NA,NA,NA,1
Vitis x novae-angliae,Fairfield,09001,NA,2,NA,NA,NA,2
Vitis x novae-angliae,New London,09011,NA,1,NA,NA,NA,1
Vitis x novae-angliae,York,23031,NA,1,NA,NA,NA,1
Vitis x novae-angliae,Nassau,36059,1,NA,NA,NA,NA,1
Vitis x novae-angliae,Fayette,42051,NA,2,NA,NA,NA,2
Vitis x novae-angliae,Hampden,25013,NA,1,NA,NA,NA,1
Vitis x novae-angliae,Hartford,09003,NA,5,NA,NA,NA,5
Vitis x novae-angliae,Bedford,42009,NA,1,NA,NA,NA,1
Vitis x novae-angliae,Franklin,42055,NA,1,NA,NA,NA,1
Vitis x novae-angliae,Sussex,34037,NA,2,NA,NA,NA,2
Vitis x novae-angliae,Northampton,42095,NA,1,NA,NA,NA,1
Vitis x novae-angliae,Warren,42123,NA,1,NA,NA,NA,1
Vitis x novae-angliae,Sullivan,36105,NA,2,NA,NA,NA,2
Vitis x novae-angliae,Franklin,25011,NA,7,NA,NA,NA,7
Vitis x novae-angliae,Middlesex,25017,NA,6,NA,NA,NA,6
Vitis x novae-angliae,Cheshire,33005,NA,1,NA,NA,NA,1
Vitis x novae-angliae,Windsor,50027,NA,1,NA,NA,NA,1
Vitis x novae-angliae,Sullivan,33019,NA,2,NA,NA,NA,2
Vitis x novae-angliae,Penobscot,23019,NA,3,NA,NA,NA,3
Vitis x novae-angliae,Belknap,33001,NA,1,NA,NA,NA,1
Vitis x novae-angliae,Merrimack,33013,NA,2,NA,NA,NA,2
Vitis x novae-angliae,Allegheny,42003,NA,2,NA,NA,NA,2
Vitis x novae-angliae,Westmoreland,42129,NA,2,NA,NA,NA,2
Vitis x novae-angliae,Butler,42019,NA,1,NA,NA,NA,1
Vitis x novae-angliae,Indiana,42063,NA,1,NA,NA,NA,1
Vitis x novae-angliae,Blair,42013,NA,1,NA,NA,NA,1
Vitis x novae-angliae,Centre,42027,NA,2,NA,NA,NA,2
Vitis x novae-angliae,Union,42119,NA,4,NA,NA,NA,4
Vitis x novae-angliae,Lackawanna,42069,NA,1,NA,NA,NA,1
Vitis x novae-angliae,Washington,50023,NA,1,NA,NA,NA,1
Vitis x novae-angliae,Lamoille,50015,NA,1,NA,NA,NA,1
