species,projection,GRS_ex_SD,GRS_ex_CV,ERS_ex_SD,ERS_ex_CV,FCS_ex_SD,FCS_ex_CV,GRS_in_SD,GRS_in_CV,ERS_in_SD,ERS_in_CV,FCS_in_SD,FCS_in_CV,FCS_min_SD,FCS_min_CV,FCS_max_SD,FCS_max_CV,FCS_mean_SD,FCS_mean_CV
Vitis acerifolia,EqualArea,23.71669686867288,118.77602650026336,6.3887656499993986,11.76877882894626,9.101786223333507,27.25799394765372,0,0,0,0,0,0,1.1346406542571967,4.543744103991847,8.41867389498302,24.83481216944885,4.550893111666753,15.46077718478317
Vitis acerifolia,WGS84,23.64789668577376,118.69365934875529,6.3887656499993986,11.76877882894626,9.079908006938275,27.20445168867574,0,0,0,0,0,0,1.3328179630434371,5.262585572660442,8.286878175567757,24.392824208972243,4.539954003469136,15.312101462903335
Vitis aestivalis,EqualArea,0.02778294494839411,223.60679774997897,1.3975424859373686,223.60679774997897,0.4751084769619209,83.60439739333749,0,0,0,0,0,0,0.4751084769619209,83.60439739333749,0,0,0.23755423848096,1.2283931271945028
Vitis aestivalis,WGS84,0.028370935049989603,223.60679774997897,1.3975424859373686,223.60679774997897,0.4753044736624527,83.62598818668947,0,0,0,0,0,0,0.4753044736624527,83.62598818668947,0,0,0.2376522368312255,1.2299704043402948
Vitis aestivalis var. aestivalis,EqualArea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitis aestivalis var. aestivalis,WGS84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitis aestivalis var. bicolor,EqualArea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitis aestivalis var. bicolor,WGS84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitis arizonica,EqualArea,30.11375201316172,122.99743579614963,12.995725793078618,23.206653201926102,14.076389297781416,47.405189112578775,0,0,0,0,0,0,13.663708876485563,46.359114714358306,0.49227939398053067,0.983514783205335,7.038194648890707,17.7002067388355
Vitis arizonica,WGS84,30.08493762286348,122.97061598222486,13.824294235551811,24.112141108520603,14.332707675388454,47.566105150978345,0,0,0,0,0,0,14.055698357812453,46.88590633396658,0.34362117743317866,0.68322467543175,7.166353837694228,17.855057307992563
Vitis baileyana,EqualArea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitis baileyana,WGS84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitis berlandieri,EqualArea,37.659473163289086,115.67846583879955,17.49635530559413,30.618621784789728,18.12753065288623,46.03040690179336,0,0,0,0,0,0,0.7932705186807075,3.1778252641051252,17.550513887621104,43.94737967248722,9.063765326443114,27.932351274952534
Vitis berlandieri,WGS84,37.70154483812155,115.70733558334459,17.49635530559413,30.618621784789728,18.141904993035137,46.05589924652953,0,0,0,0,0,0,0.9249359098170775,3.683024815568948,17.462740899436607,43.608279890161874,9.070952496517569,27.842926622402114
Vitis biformis,EqualArea,1.7132412751952806,115.64454637704517,0,0,0.5710804250650935,4.042857003864399,0,0,0,0,0,0,0.5710804250650935,4.042857003864399,0,0,0.2855402125325468,1.0532871991367767
Vitis biformis,WGS84,1.6295250827119887,114.79051466381168,0,0,0.5431750275706626,3.850931696104385,0,0,0,0,0,0,0.5431750275706626,3.850931696104385,0,0,0.2715875137853313,1.0022297712739547
Vitis blancoi,EqualArea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitis blancoi,WGS84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitis bloodworthiana,EqualArea,20.48125864794658,118.01219655702988,10.101525445522107,11.785113019775793,9.79915575900389,18.60427921536929,0,0,0,0,0,0,6.685838664736159,13.143097406926243,4.029245993934396,6.664259127388562,4.899577879501947,8.801892081937392
Vitis bloodworthiana,WGS84,20.955235877461774,118.49079185306226,10.101525445522107,11.785113019775793,9.951209271720094,18.85359812679195,0,0,0,0,0,0,6.917448983718171,13.553253916996372,3.8962560099220633,6.382654637989034,4.975604635860048,8.878391418225302
Vitis bourgaeana,EqualArea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitis bourgaeana,WGS84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitis californica,EqualArea,34.74881142136428,116.86347100737744,13.038404810405298,27.163343355011037,15.730437445036504,58.614427439390305,0,0,0,0,0,0,11.319717276972595,46.70423780102777,5.814042049958157,14.53817476733673,7.865218722518252,24.491336874012497
Vitis californica,WGS84,34.558520310477796,116.46501187703342,13.038404810405298,27.163343355011037,15.663858202791063,58.41107487187096,0,0,0,0,0,0,11.27911375066493,46.55309344729769,5.787156161002611,14.504482247191605,7.83192910139553,24.42608549301479
Vitis cinerea,EqualArea,4.670865982847863,143.84158939294457,2.7196414661021056,14.142135623730947,2.366166841293079,24.603804872012628,0,0,0,0,0,0,2.366166841293079,24.603804872012628,0,0,1.183083420646539,5.134641876885157
Vitis cinerea,WGS84,4.67050955529769,143.86784607725517,2.7196414661021056,14.142135623730947,2.365973669109601,24.60251286131698,0,0,0,0,0,0,2.365973669109601,24.60251286131698,0,0,1.1829868345548002,5.052779705861891
Vitis cinerea var. cinerea,EqualArea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitis cinerea var. cinerea,WGS84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitis cinerea var. tomentosa,EqualArea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitis cinerea var. tomentosa,WGS84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitis girdiana,EqualArea,33.00680247399344,126.32524171077503,19.166296949998195,29.166104054345084,16.89297566216461,51.83242512103254,0,0,0,0,0,0,14.360567538728422,46.1955019182998,3.365315299965976,6.64859228821051,8.446487831082305,20.675959611258534
Vitis girdiana,WGS84,32.95973104438409,126.29286287832375,19.166296949998195,29.166104054345084,16.874595557472603,51.79222453606121,0,0,0,0,0,0,14.50579751317396,46.52123305836903,3.1311760515002156,6.137835657791239,8.437297778736298,20.529863782517083
Vitis jaegeriana,EqualArea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitis jaegeriana,WGS84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitis labrusca,EqualArea,3.5772371283162707,154.11263923854054,7.302967433402214,60.85806194501845,3.4833610100241756,43.85736130078421,0,0,0,0,0,0,3.4833610100241756,43.85736130078421,0,0,1.7416805050120883,7.653922674110411
Vitis labrusca,WGS84,3.674035371802351,155.07670997166528,7.302967433402214,60.85806194501845,3.5097467605517965,44.100751198157,0,0,0,0,0,0,3.5097467605517965,44.100751198157,0,0,1.7548733802758985,7.671865874728565
Vitis lincecumii,EqualArea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitis lincecumii,WGS84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitis martineziana,EqualArea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitis martineziana,WGS84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitis monticola,EqualArea,37.50984275482591,129.41172435988955,0,0,12.503280918275305,34.188265868187585,0,0,0,0,0,0,6.642683987370907,20.21253312931714,6.791770820756422,15.541555063382951,6.2516404591376515,16.33030411129778
Vitis monticola,WGS84,37.49239698422322,129.41629954400818,0,0,12.497465661407738,34.17688334191463,0,0,0,0,0,0,7.710030899621252,22.90691672247002,6.020358659325755,13.412588884603933,6.24873283070387,15.911425610336899
Vitis munsoniana,EqualArea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitis munsoniana,WGS84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitis mustangensis,EqualArea,27.09366863685227,124.57134012494251,9.128709291752779,11.907012119677537,11.41107207023904,34.19046656510236,0,0,0,0,0,0,6.363036964241631,21.40280497841835,6.126939873547535,15.669277406372531,5.705536035119518,16.57826260927667
Vitis mustangensis,WGS84,27.02257304565658,124.42753169160561,9.128709291752779,11.907012119677537,11.39005386586247,34.13840165119284,0,0,0,0,0,0,6.503944109837847,21.785865620956955,5.962431788129121,15.180807945212091,5.695026932931235,16.476263431780765
Vitis nesbittiana,EqualArea,16.26073763923735,110.74388963313166,28.50438562747845,43.85290096535146,14.52954446212773,48.378137506725174,0,0,0,0,0,0,11.652987198297831,41.53571375388794,4.42281401933662,10.706791600480004,7.264772231063865,20.94685883727378
Vitis nesbittiana,WGS84,16.388548198641633,109.81025151473223,28.50438562747845,43.85290096535146,14.572200147129076,48.39060478991538,0,0,0,0,0,0,11.674373502520654,41.54478266027575,4.501205000831462,10.924972820911767,7.286100073564538,21.02717162714147
Vitis palmata,EqualArea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitis palmata,WGS84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitis peninsularis,EqualArea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitis peninsularis,WGS84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitis popenoei,EqualArea,9.945859609542666,140.73592776347704,12.196734422726125,39.46002313234923,7.065053824922182,53.29454780063125,0,0,0,0,0,0,7.065053824922182,53.29454780063125,0,0,3.5325269124610896,12.226525695596886
Vitis popenoei,WGS84,9.83433385269826,140.78410393261726,12.196734422726125,39.46002313234923,7.029670222766818,53.13670920913148,0,0,0,0,0,0,7.029670222766818,53.13670920913148,0,0,3.5148351113834098,12.23728321563912
Vitis riparia,EqualArea,1.039669699012578,146.75870267381347,8.992003317520894,59.26547641093316,3.3041166434374785,53.92635140464991,0,0,0,0,0,0,3.3041166434374785,53.92635140464991,0,0,1.6520583217187392,7.758444573425913
Vitis riparia,WGS84,1.1040659862590023,148.63483424069193,9.568577190008005,66.06874726434098,3.516860774457137,59.52037493568984,0,0,0,0,0,0,3.516860774457137,59.52037493568984,0,0,1.758430387228568,8.488930005465788
Vitis rotundifolia,EqualArea,4.615528428887047,158.94121507946952,14.487116456005886,39.51031760728878,6.199382683219921,46.64801795798725,0,0,0,0,0,0,6.199382683219921,46.64801795798725,0,0,3.0996913416099603,12.271255033140314
Vitis rotundifolia,WGS84,4.647322519914503,159.004616534449,14.487116456005886,39.51031760728878,6.208933565394883,46.69782044633878,0,0,0,0,0,0,6.208933565394883,46.69782044633878,0,0,3.1044667826974415,12.25411482679792
Vitis rubriflora,EqualArea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitis rubriflora,WGS84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitis rupestris,EqualArea,17.839613980928686,130.64050953597066,9.12870929175277,21.06625221173716,8.780514768041497,35.142278639659466,0,0,0,0,0,0,8.404717564065773,33.88754963986552,0.4110560641307371,1.062972480469444,4.390257384020747,13.833634391620976
Vitis rupestris,WGS84,17.76838655428773,130.33447859483823,7.606000241218865,17.4304172194599,8.319282256287142,33.17217577494829,0,0,0,0,0,0,8.319282256287142,33.17217577494829,0,0,4.159641128143569,12.585649360075807
Vitis shuttleworthii,EqualArea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitis shuttleworthii,WGS84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitis simpsonii,EqualArea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitis simpsonii,WGS84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitis tiliifolia,EqualArea,3.2824060526819454,144.77152302046062,5.545075967613951,43.74448818895451,2.909462616117607,55.44607460326032,0,0,0,0,0,0,2.909462616117607,55.44607460326032,0,0,1.4547313080588047,5.030982274652465
Vitis tiliifolia,WGS84,3.3107376020421695,144.98558688271518,5.545075967613951,43.74448818895451,2.9186030979359145,55.56311027152473,0,0,0,0,0,0,2.9186030979359145,55.56311027152473,0,0,1.4593015489679573,5.0228759566550725
Vitis vulpina,EqualArea,1.5371080825868837,160.1674651288669,7.967217989988726,63.7377439199098,3.1564270770492544,64.65212049376645,0,0,0,0,0,0,3.1564270770492544,64.65212049376645,0,0,1.5782135385246274,7.737162020387458
Vitis vulpina,WGS84,1.5335282043449545,160.06537274406932,7.967217989988726,63.7377439199098,3.155325694362467,64.6367298964177,0,0,0,0,0,0,3.155325694362467,64.6367298964177,0,0,1.5776628471812342,7.681168234141859
Vitis x champinii,EqualArea,40.8813879018218,114.22862934937481,0,0,13.62712930060726,18.945067031061672,0,0,0,0,0,0,0,0,13.62712930060726,18.945067031061672,6.813564650303632,14.416778362802987
Vitis x champinii,WGS84,40.67940027172033,114.20043674235161,0,0,13.559800090573443,18.86615399872582,0,0,0,0,0,0,0,0,13.559800090573443,18.86615399872582,6.7799000452867215,14.351350460871517
Vitis x doaniana,EqualArea,43.41694071231049,115.91412097581994,13.693063937629153,15.214515486254616,18.21235037488402,24.02091857142907,0,0,0,0,0,0,0,0,18.21235037488402,24.02091857142907,9.10617518744201,16.50744718524307
Vitis x doaniana,WGS84,43.333351546665625,115.88309347990628,13.693063937629153,15.214515486254616,18.184748818158546,23.99106429657144,0,0,0,0,0,0,0,0,18.184748818158546,23.99106429657144,9.092374409079275,16.488736900490405
Vitis x novae-angliae,EqualArea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitis x novae-angliae,WGS84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
